seed,scenario,method,view,regime,window,n_rows,state_mismatch_rate,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate
42,steady_m2_r10_k1,regime_marginal,clean,transit_rough,all,720,0.0,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,clean,transit_rough,stable,720,0.0,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,
42,steady_m2_r10_k1,regime_marginal,observed,all,all,2160,0.0,6480,216,63,50,153,6214,0.5575221238938053,0.2916666666666667,0.3829787234042553,0.007982120051085569,0.386231032192316,0.8287037037037037,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.2916666666666667,0.2916666666666667
42,steady_m2_r10_k1,regime_marginal,observed,all,stable,2160,0.0,6480,216,63,50,153,6214,0.5575221238938053,0.2916666666666667,0.3829787234042553,0.007982120051085569,0.386231032192316,0.8287037037037037,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.2916666666666667,0.2916666666666667
42,steady_m2_r10_k1,regime_marginal,observed,warehouse,all,720,0.0,2160,72,21,23,51,2065,0.4772727272727273,0.2916666666666667,0.3620689655172414,0.011015325670498084,0.3413401935376859,0.8055555555555556,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.2916666666666667,0.2916666666666667
42,steady_m2_r10_k1,regime_marginal,observed,warehouse,stable,720,0.0,2160,72,21,23,51,2065,0.4772727272727273,0.2916666666666667,0.3620689655172414,0.011015325670498084,0.3413401935376859,0.8055555555555556,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.2916666666666667,0.2916666666666667
42,steady_m2_r10_k1,regime_marginal,observed,transit_smooth,all,720,0.0,2160,72,14,15,58,2073,0.4827586206896552,0.19444444444444445,0.27722772277227725,0.007183908045977011,0.3143187202307797,0.8194444444444444,72,0.0,144,0.023148148148148147,1.0,1.0,0.3333333333333333,0.19444444444444445,0.19444444444444445
42,steady_m2_r10_k1,regime_marginal,observed,transit_smooth,stable,720,0.0,2160,72,14,15,58,2073,0.4827586206896552,0.19444444444444445,0.27722772277227725,0.007183908045977011,0.3143187202307797,0.8194444444444444,72,0.0,144,0.023148148148148147,1.0,1.0,0.3333333333333333,0.19444444444444445,0.19444444444444445
42,steady_m2_r10_k1,regime_marginal,observed,transit_rough,all,720,0.0,2160,72,28,12,44,2076,0.7,0.3888888888888889,0.5,0.005747126436781609,0.512738329878978,0.8611111111111112,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.3888888888888889,0.3888888888888889
42,steady_m2_r10_k1,regime_marginal,observed,transit_rough,stable,720,0.0,2160,72,28,12,44,2076,0.7,0.3888888888888889,0.5,0.005747126436781609,0.512738329878978,0.8611111111111112,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.3888888888888889,0.3888888888888889
