scenario,compare_to,method,view,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_m1,steady_m2_r10_k1,pooled_conditional,observed,-0.20413160214844903,0.015425265707350908,5,-0.16666666666666666,0.003273642505493263,5,-0.24302723823847527,0.060144617840926694,5,-0.17394538838073664,0.01750462050855739,5,-0.0021072796934865903,0.0011083368427656313,5,-0.030555555555555558,0.016070884220101646,5,-0.1935185185185185,0.02002013732448117,5,0.0,0.0,5,-0.16666666666666666,0.003273642505493263,5,-0.1,0.03712374110505455,5,0.0,0.0,5
steady_m1,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m1,steady_m2_r10_k1,pooled_marginal,observed,-0.11256981874797709,0.03782219866501985,5,-0.08796296296296298,0.030181492616678927,5,-0.15963549601082547,0.06308479127090313,5,-0.07828097461522879,0.018242596194216826,5,0.0,0.0,5,0.0,0.0,5,-0.15925925925925927,0.031159849389747876,5,0.0,0.0,5,-0.08796296296296298,0.030181492616678927,5,-0.08518518518518518,0.030110393595387225,5,0.0,0.0,5
steady_m1,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m1,steady_m2_r10_k1,regime_conditional,observed,-0.3422897593169344,0.018621933028366823,5,-0.31666666666666665,0.013733700902029024,5,-0.34122780805855085,0.028736387199078457,5,-0.34370790734251067,0.023913999200594907,5,-0.0014687100893997448,0.0004842193770147862,5,-0.021296296296296296,0.007021180966714401,5,-0.29814814814814816,0.035349276238557555,5,0.0,0.0,5,-0.31666666666666665,0.013733700902029024,5,-0.27222222222222225,0.02880061299073296,5,0.0,0.0,5
steady_m1,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m1,steady_m2_r10_k1,regime_marginal,observed,-0.25602121849538795,0.03926590197927519,5,-0.20370370370370372,0.03273642505493276,5,-0.33593491953985904,0.06852763361822997,5,-0.24792494027267917,0.045723684957826,5,0.0,0.0,5,0.0,0.0,5,-0.2611111111111111,0.044236589576263904,5,0.0,0.0,5,-0.20370370370370372,0.03273642505493276,5,-0.20092592592592595,0.03315926773975923,5,0.0,0.0,5
steady_m1,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m1,steady_m2_r10_k1,single_marginal,observed,-0.01435880951575163,0.004727971103254539,5,-0.10555555555555554,0.03312693299999689,5,-0.0077027896719209735,0.0025450833859008196,5,-0.007142913088519766,0.004761115017643772,5,0.0,0.0,5,0.0,0.0,5,-0.08703703703703702,0.005071505162084852,5,0.0,0.0,5,-0.10555555555555554,0.03312693299999689,5,-0.059259259259259255,0.027271623101894706,5,0.0,0.0,5
steady_m4,steady_m2_r10_k1,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
