scenario,method,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
switch_d12,regime_conditional,observed,transit_rough,transition,0.07979545154502518,0.09985553826323765,5,0.5277777777777778,0.41943524640393054,4,0.044754359686956735,0.05692610124115259,5,0.046374763134806596,0.03536988062107598,4,0.4679343971631206,0.04193880113738906,5,0.4930555555555555,0.2294821061369209,4,0.2361111111111111,0.3154949081000152,4,0.33333333333333326,4.5324665183683945e-17,4,0.5277777777777778,0.41943524640393054,4,0.2222222222222222,0.31426968052735443,4,1.0,0.0,5
switch_d12,regime_conditional,observed,transit_smooth,all,0.19998051337370099,0.031587557700556816,5,0.47884060384060384,0.08967622194526205,5,0.1284338124647812,0.024397984824775783,5,0.12149024060108715,0.05532756681952299,5,0.1005294507444325,0.0051316469397700015,5,0.14634532134532136,0.13160026123526578,5,0.8050449550449551,0.07488635003169129,5,0.3333333333333333,4.8074067159589095e-17,5,0.47884060384060384,0.08967622194526205,5,0.2916389166389166,0.05571665367130829,5,1.0,0.0,5
switch_d12,regime_conditional,observed,transit_smooth,stable,0.42862533510334283,0.09092295618594279,5,0.40347707847707853,0.05864274704553303,5,0.4847096079857125,0.1558788447153864,5,0.4138508006477153,0.12737157993150164,5,0.01243074126408451,0.002455970183152573,5,0.030031080031080033,0.018501043603892636,5,0.8507575757575758,0.05134095472814201,5,0.3333333333333333,6.206335383118183e-17,5,0.40347707847707853,0.05864274704553303,5,0.3511072261072261,0.06493028855269917,5,1.0,0.0,5
switch_d12,regime_conditional,observed,transit_smooth,transition,0.0803493347681771,0.06268870991028243,5,0.9083333333333333,0.18333333333333335,4,0.043750690160959324,0.03601216203372542,5,0.1165939819906326,0.13377488315650066,4,0.6777306129839583,0.03159929276913689,5,0.5270833333333333,0.207874494721107,4,0.6,0.48989794855663565,4,0.33333333333333337,5.551115123125783e-17,4,0.9083333333333333,0.18333333333333335,4,0.14583333333333334,0.2393567769390845,4,1.0,0.0,5
switch_d12,regime_conditional,observed,warehouse,all,0.2936211849711978,0.09738293317890391,5,0.4331379268879269,0.11867966141810336,5,0.22421223446529784,0.08308138265948058,5,0.14861529345699515,0.0597902663340604,5,0.05968515611437288,0.001822613825485879,5,0.06899681337181338,0.04946595761804855,5,0.7832617845117845,0.06344563237390999,5,0.3333333333333333,7.343435057440258e-17,5,0.4331379268879269,0.11867966141810336,5,0.3483543771043771,0.11036937763980914,5,1.0,0.0,5
switch_d12,regime_conditional,observed,warehouse,stable,0.4742414963246427,0.05193984068952147,5,0.41658885776532834,0.05416709572324506,5,0.5606804366505618,0.10061482856610932,5,0.47027215186803933,0.07733717815194432,5,0.013229247140027527,0.0031534102639524954,5,0.042594926859632745,0.0202416681940347,5,0.8288562091503268,0.013737933979410463,5,0.3333333333333333,1.0749688212373146e-16,5,0.41658885776532834,0.05416709572324506,5,0.34833333333333333,0.09443627415640246,5,1.0,0.0,5
switch_d12,regime_conditional,observed,warehouse,transition,0.08917163329538605,0.1458607058417402,5,0.6527777777777778,0.5657058848448973,3,0.052358450038663115,0.0881968938952776,5,0.06467015105335931,0.05382019164200054,3,0.3580510236500061,0.014980386084834917,5,0.25,0.25,3,0.5,0.5,3,0.3333333333333333,0.0,3,0.6527777777777778,0.5657058848448973,3,0.5,0.5,3,1.0,0.0,5
switch_d12,regime_marginal,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.07919753086419754,0.004485142452552885,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009935897435897437,0.003033343581912725,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,all,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.5293981481481482,0.024791223584241278,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.06546296296296297,0.009423315144510301,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009188034188034188,0.004813624070969577,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_rough,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.43125,0.056224273952461844,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.08592592592592593,0.009440358593314681,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_smooth,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009508547008547008,0.0060483674592812665,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,transit_smooth,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.5826388888888889,0.03432059386986543,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0862037037037037,0.003974477042839773,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.011111111111111112,0.004738943400901042,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
switch_d12,regime_marginal,clean,warehouse,transition,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.5743055555555555,0.029112880300353576,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5
