method,scenario,regime,n_cells_mean,n_cells_std,n_cells_count,positive_cells_mean,positive_cells_std,positive_cells_count,tp_mean,tp_std,tp_count,fp_mean,fp_std,fp_count,fn_mean,fn_std,fn_count,tn_mean,tn_std,tn_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,average_precision_mean,average_precision_std,average_precision_count,top1_localization_mean,top1_localization_std,top1_localization_count,localization_rows_mean,localization_rows_std,localization_rows_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,bystander_cells_mean,bystander_cells_std,bystander_cells_count,clean_row_alarm_rate_mean,clean_row_alarm_rate_std,clean_row_alarm_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,common_complete_row_fraction_mean,common_complete_row_fraction_std,common_complete_row_fraction_count
pooled_conditional,clean,all,5760.0,0.0,5,0.0,0.0,5,0.0,0.0,5,51.0,15.116216457830975,5,0.0,0.0,5,5709.0,15.116216457830975,5,0.0,0.0,5,,,0,0.0,0.0,5,0.008854166666666666,0.0026243431350401,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.022604166666666668,0.006158179689107272,5,1.0,0.0,5,1.0,0.0,5
pooled_conditional,clean,transit_rough,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,32.0,10.583005244258363,5,0.0,0.0,5,1888.0,10.583005244258363,5,0.0,0.0,5,,,0,0.0,0.0,5,0.016666666666666666,0.005511981898051231,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.0409375,0.01107061848994897,5,1.0,0.0,5,1.0,0.0,5
pooled_conditional,clean,transit_smooth,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,18.4,8.905054744357274,5,0.0,0.0,5,1901.6,8.905054744357294,5,0.0,0.0,5,,,0,0.0,0.0,5,0.009583333333333334,0.004638049346019414,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.025937500000000002,0.011619370276611382,5,1.0,0.0,5,1.0,0.0,5
pooled_conditional,clean,warehouse,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.6,0.8944271909999159,5,0.0,0.0,5,1919.4,0.8944271909999302,5,0.0,0.0,2,,,0,0.0,0.0,2,0.0003125,0.00046584749531245617,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.0009375000000000002,0.0013975424859373688,5,1.0,0.0,5,1.0,0.0,5
pooled_conditional,observed,all,5646.0,0.0,5,154.0,0.0,5,76.4,5.504543577809154,5,102.4,15.533834040570927,5,77.6,5.504543577809154,5,5389.6,15.53383404057097,5,0.429215256069339,0.02089885226457116,5,0.49610389610389605,0.035743789466293224,5,0.4589372390934357,0.004902230473782896,5,0.018645302257829573,0.002828447567474676,5,0.40698013421343154,0.017767500515556943,5,0.6701298701298701,0.05612283230216081,5,154.0,0.0,5,0.18246753246753247,0.02934677022980952,5,308.0,0.0,5,0.022800925925925926,0.004988278226738414,5,0.9802083333333333,0.0,5,0.9802083333333333,0.0,5
pooled_conditional,observed,transit_rough,1887.0,37.70941526992961,5,58.4,9.396807968666806,5,28.8,7.563068160475615,5,50.0,16.583123951777,5,29.6,5.029910535983716,5,1778.6,29.27968579066378,5,0.37011187869366535,0.04461417828418313,5,0.4888238950905418,0.07734731606103687,5,0.4179980142469419,0.03973684304885652,5,0.027290779800089586,0.008776756046887187,5,0.40270174357337946,0.0381302785755005,5,0.633907946392472,0.07316897713701652,5,58.4,9.396807968666806,5,0.182849244160532,0.07764675388190875,5,116.8,18.793615937333612,5,0.0406317194133841,0.008175795617139063,5,0.9828125,0.01964032045308834,5,0.9828125,0.01964032045308834,5
pooled_conditional,observed,transit_smooth,1893.0,29.8496231131986,5,48.2,10.986355173577815,5,22.4,5.727128425310541,5,33.4,7.956129712366434,5,25.8,5.805170109479997,5,1811.4,35.57808314116991,5,0.4037880986937591,0.08157845637708266,5,0.463520461238539,0.03647232937634245,5,0.42860433735206066,0.05533631027932413,5,0.018141592737091705,0.004481104924144885,5,0.3940887700754413,0.0348246649058998,5,0.7615573669128985,0.09041975908903643,5,48.2,10.986355173577815,5,0.16568496550305206,0.02439450689425602,5,96.4,21.97271034715563,5,0.02683630466709257,0.010896472979391166,5,0.9859375,0.01554667870479096,5,0.9859375,0.01554667870479096,5
pooled_conditional,observed,warehouse,1866.0,18.12456896039186,5,47.4,12.700393694685216,5,25.2,6.534523701081817,5,19.0,6.041522986797286,5,22.2,8.408329203831164,5,1799.6,25.422431040323417,5,0.5727030644793802,0.03276009611784569,5,0.5428702147525677,0.1058201409805694,5,0.55349931871671,0.06284419203958413,5,0.010453455296736214,0.003334439571750809,5,0.4773698643671375,0.05839415784910696,5,0.6090420168067227,0.10080819282293232,5,47.4,12.700393694685216,5,0.19493183940242761,0.03176065077798204,5,94.8,25.400787389370432,5,0.0010246026121291892,0.0015350339440897668,5,0.971875,0.009439879666870755,5,0.971875,0.009439879666870755,5
pooled_marginal,clean,all,5760.0,0.0,5,0.0,0.0,5,0.0,0.0,5,72.2,21.71865557533431,5,0.0,0.0,5,5687.8,21.718655575334374,5,0.0,0.0,5,,,0,0.0,0.0,5,0.012534722222222221,0.0037705999262733166,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.03197916666666667,0.009085519136852396,5,1.0,0.0,5,1.0,0.0,5
pooled_marginal,clean,transit_rough,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,65.6,20.476816158768433,5,0.0,0.0,5,1854.4,20.476816158768447,5,0.0,0.0,5,,,0,0.0,0.0,5,0.034166666666666665,0.010665008416025227,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.08562499999999999,0.02503415635436912,5,1.0,0.0,5,1.0,0.0,5
pooled_marginal,clean,transit_smooth,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,3.4,2.5099800796022267,5,0.0,0.0,5,1916.6,2.50998007960224,5,0.0,0.0,5,,,0,0.0,0.0,5,0.0017708333333333332,0.0013072812914594932,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.0053124999999999995,0.003921843874378479,5,1.0,0.0,5,1.0,0.0,5
pooled_marginal,clean,warehouse,1920.0,0.0,5,0.0,0.0,5,0.0,0.0,5,3.2,5.540758070878027,5,0.0,0.0,5,1916.8,5.540758070878032,5,0.0,0.0,3,,,0,0.0,0.0,3,0.0016666666666666666,0.002885811495248973,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.005,0.008657434485746919,5,1.0,0.0,5,1.0,0.0,5
pooled_marginal,observed,all,5646.0,0.0,5,154.0,0.0,5,50.2,4.324349662087932,5,68.2,21.626372788796555,5,103.8,4.32434966208793,5,5423.8,21.62637278879661,5,0.4330055027226014,0.06267622625119168,5,0.32597402597402597,0.028080192610960585,5,0.3695413646657156,0.030447127982125715,5,0.012418062636562272,0.003937795482300902,5,0.3399754754682999,0.0327020017211698,5,0.6181818181818182,0.03093799805083532,5,154.0,0.0,5,0.014285714285714285,0.008772244211757334,5,308.0,0.0,5,0.03159722222222222,0.009372499094866042,5,0.9934027777777776,0.0,5,0.9802083333333333,0.0,5
pooled_marginal,observed,transit_rough,1887.0,37.70941526992961,5,58.4,9.396807968666806,5,20.6,5.594640292279746,5,61.8,19.904773296875298,5,37.8,4.54972526643093,5,1766.8,34.448512304597415,5,0.25254014711575684,0.036656854299394005,5,0.34873116207005994,0.044538777246370745,5,0.29153634748594043,0.03193147017060181,5,0.033769366484650176,0.010662845536875527,5,0.3067423023255472,0.03159181794161284,5,0.5040103079032816,0.07510052476656563,5,58.4,9.396807968666806,5,0.035819844812792254,0.01888557232369333,5,116.8,18.793615937333612,5,0.0845589264167621,0.025604398794560945,5,0.9942708333333334,0.006546773484362811,5,0.9828125,0.01964032045308834,5
pooled_marginal,observed,transit_smooth,1893.0,29.8496231131986,5,48.2,10.986355173577815,5,14.0,5.1478150704935,5,3.4,2.5099800796022267,5,34.2,8.378544026261364,5,1841.4,32.49307618555063,5,0.7893894830659537,0.16190251743552353,5,0.28901091911832083,0.07655176400423079,5,0.42155217179747995,0.10088392999523746,5,0.0018580674030294086,0.0013951585854626214,5,0.4983307717106541,0.11943389598930007,5,0.807402525582227,0.05868987458234318,5,48.2,10.986355173577815,5,0.0,0.0,5,96.4,21.97271034715563,5,0.005876790591698916,0.004439372237532642,5,0.9953125,0.005182226234930331,5,0.9859375,0.01554667870479096,5
pooled_marginal,observed,warehouse,1866.0,18.12456896039186,5,47.4,12.700393694685216,5,15.6,4.929503017546495,5,3.0,5.0990195135927845,5,31.8,9.338094023943002,5,1815.6,25.412595302329912,5,0.883095238095238,0.16867917594976856,5,0.33452100840336135,0.07440363859938201,5,0.4747581154477706,0.07333911804012527,5,0.001655096895170451,0.0028173996704894152,5,0.4096873451516254,0.07528026236225907,5,0.564280112044818,0.08692291276952731,5,47.4,12.700393694685216,5,0.0,0.0,5,94.8,25.400787389370432,5,0.005243806053677408,0.0089482211129946,5,0.990625,0.0031466265556235953,5,0.971875,0.009439879666870755,5
regime_conditional,clean,all,5760.0,0.0,5,0.0,0.0,5,0.0,0.0,5,69.8,10.329569206893385,5,0.0,0.0,5,5690.2,10.32956920689349,5,0.0,0.0,5,,,0,0.0,0.0,5,0.012118055555555556,0.001793327987307879,5,,,0,,,0,0.0,0.0,5,,,0,0.0,0.0,5,0.0346875,0.0048802944896343655,5,1.0,0.0,5,1.0,0.0,5
