seed,method,scenario,regime,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
43,regime_conditional,observed,all,5646,154,99,139,55,5353,0.41596638655462187,0.6428571428571429,0.5051020408163265,0.02530954115076475,0.5012404314587352,0.8571428571428571,154,0.20454545454545456,308,0.041666666666666664,0.9802083333333333,0.9802083333333333
43,regime_conditional,observed,warehouse,1869,28,24,50,4,1791,0.32432432432432434,0.8571428571428571,0.47058823529411764,0.027159152634437807,0.6272090372054195,0.8571428571428571,28,0.44642857142857145,56,0.03865546218487395,0.9734375,0.9734375
43,regime_conditional,observed,transit_smooth,1857,54,36,51,18,1752,0.41379310344827586,0.6666666666666666,0.5106382978723404,0.028286189683860232,0.5712083816165253,0.9444444444444444,54,0.2037037037037037,108,0.047787610619469026,0.9671875,0.9671875
43,regime_conditional,observed,transit_rough,1920,72,39,38,33,1810,0.5064935064935064,0.5416666666666666,0.5234899328859061,0.020562770562770564,0.5554933028015447,0.7916666666666666,72,0.1111111111111111,144,0.03873239436619718,1.0,1.0
43,regime_conditional,clean,all,5760,0,0,83,0,5677,0.0,,0.0,0.014409722222222223,,,0,,0,0.040625,1.0,1.0
43,regime_conditional,clean,warehouse,1920,0,0,28,0,1892,0.0,,0.0,0.014583333333333334,,,0,,0,0.040625,1.0,1.0
43,regime_conditional,clean,transit_smooth,1920,0,0,31,0,1889,0.0,,0.0,0.016145833333333335,,,0,,0,0.04375,1.0,1.0
43,regime_conditional,clean,transit_rough,1920,0,0,24,0,1896,0.0,,0.0,0.0125,,,0,,0,0.0375,1.0,1.0
44,single_marginal,observed,all,5646,154,113,2384,41,3108,0.04525430516619944,0.7337662337662337,0.08525084873632592,0.4340859431900947,0.10118555641516733,0.5454545454545454,154,0.38311688311688313,308,0.6782407407407407,0.9934027777777777,0.9802083333333333
44,single_marginal,observed,warehouse,1854,45,36,17,9,1792,0.6792452830188679,0.8,0.7346938775510204,0.009397457158651189,0.8291146003233723,0.8666666666666667,45,0.0,90,0.029668411867364748,0.9885416666666667,0.965625
44,single_marginal,observed,transit_smooth,1920,63,42,1031,21,826,0.0391425908667288,0.6666666666666666,0.07394366197183098,0.5551965535810447,0.16276464020586046,0.49206349206349204,63,0.4365079365079365,126,1.0,1.0,1.0
44,single_marginal,observed,transit_rough,1872,46,35,1336,11,490,0.025528811086797956,0.7608695652173914,0.04940014114326041,0.7316538882803943,0.08817488561809804,0.30434782608695654,46,0.6847826086956522,92,1.0,0.9916666666666667,0.975
44,single_marginal,clean,all,5760,0,0,2498,0,3262,0.0,,0.0,0.43368055555555557,,,0,,0,0.6770833333333334,1.0,1.0
44,single_marginal,clean,warehouse,1920,0,0,20,0,1900,0.0,,0.0,0.010416666666666666,,,0,,0,0.03125,1.0,1.0
44,single_marginal,clean,transit_smooth,1920,0,0,1075,0,845,0.0,,0.0,0.5598958333333334,,,0,,0,1.0,1.0,1.0
44,single_marginal,clean,transit_rough,1920,0,0,1403,0,517,0.0,,0.0,0.7307291666666667,,,0,,0,1.0,1.0,1.0
44,pooled_marginal,observed,all,5646,154,47,49,107,5443,0.4895833333333333,0.3051948051948052,0.376,0.008922068463219229,0.31767882175333817,0.6233766233766234,154,0.003246753246753247,308,0.024305555555555556,0.9934027777777777,0.9802083333333333
44,pooled_marginal,observed,warehouse,1854,45,11,0,34,1809,1.0,0.24444444444444444,0.39285714285714285,0.0,0.28194048174732084,0.4222222222222222,45,0.0,90,0.0,0.9885416666666667,0.965625
44,pooled_marginal,observed,transit_smooth,1920,63,21,1,42,1856,0.9545454545454546,0.3333333333333333,0.49411764705882355,0.0005385029617662897,0.5218344146103658,0.8095238095238095,63,0.0,126,0.0017331022530329288,1.0,1.0
44,pooled_marginal,observed,transit_rough,1872,46,15,48,31,1778,0.23809523809523808,0.32608695652173914,0.27522935779816515,0.02628696604600219,0.25954533392033174,0.5652173913043478,46,0.010869565217391304,92,0.07093425605536333,0.9916666666666667,0.975
44,pooled_marginal,clean,all,5760,0,0,51,0,5709,0.0,,0.0,0.008854166666666666,,,0,,0,0.0234375,1.0,1.0
44,pooled_marginal,clean,warehouse,1920,0,0,0,0,1920,,,,0.0,,,0,,0,0.0,1.0,1.0
44,pooled_marginal,clean,transit_smooth,1920,0,0,1,0,1919,0.0,,0.0,0.0005208333333333333,,,0,,0,0.0015625,1.0,1.0
44,pooled_marginal,clean,transit_rough,1920,0,0,50,0,1870,0.0,,0.0,0.026041666666666668,,,0,,0,0.06875,1.0,1.0
44,regime_marginal,observed,all,5646,154,102,54,52,5438,0.6538461538461539,0.6623376623376623,0.6580645161290323,0.009832483612527313,0.6993943542096035,0.8311688311688312,154,0.003246753246753247,308,0.029513888888888888,0.9934027777777777,0.9802083333333333
44,regime_marginal,observed,warehouse,1854,45,36,17,9,1792,0.6792452830188679,0.8,0.7346938775510204,0.009397457158651189,0.8291146003233723,0.8666666666666667,45,0.0,90,0.029668411867364748,0.9885416666666667,0.965625
44,regime_marginal,observed,transit_smooth,1920,63,39,19,24,1838,0.6724137931034483,0.6190476190476191,0.6446280991735537,0.010231556273559504,0.65751713475668,0.7936507936507936,63,0.007936507936507936,126,0.03119584055459272,1.0,1.0
44,regime_marginal,observed,transit_rough,1872,46,27,18,19,1808,0.6,0.5869565217391305,0.5934065934065934,0.009857612267250822,0.6137195478591209,0.8478260869565217,46,0.0,92,0.02768166089965398,0.9916666666666667,0.975
44,regime_marginal,clean,all,5760,0,0,57,0,5703,0.0,,0.0,0.009895833333333333,,,0,,0,0.028645833333333332,1.0,1.0
44,regime_marginal,clean,warehouse,1920,0,0,20,0,1900,0.0,,0.0,0.010416666666666666,,,0,,0,0.03125,1.0,1.0
44,regime_marginal,clean,transit_smooth,1920,0,0,19,0,1901,0.0,,0.0,0.009895833333333333,,,0,,0,0.0296875,1.0,1.0
44,regime_marginal,clean,transit_rough,1920,0,0,18,0,1902,0.0,,0.0,0.009375,,,0,,0,0.025,1.0,1.0
44,pooled_conditional,observed,all,5646,154,69,81,85,5411,0.46,0.44805194805194803,0.45394736842105265,0.014748725418790968,0.3771992273932445,0.6428571428571429,154,0.1461038961038961,308,0.017939814814814815,0.9802083333333333,0.9802083333333333
44,pooled_conditional,observed,warehouse,1854,45,18,15,27,1794,0.5454545454545454,0.4,0.46153846153846156,0.008291873963515755,0.41856163339864944,0.4666666666666667,45,0.16666666666666666,90,0.0,0.965625,0.965625
44,pooled_conditional,observed,transit_smooth,1920,63,31,37,32,1820,0.45588235294117646,0.49206349206349204,0.4732824427480916,0.01992460958535272,0.3957075725639182,0.7619047619047619,63,0.18253968253968253,126,0.022530329289428077,1.0,1.0
44,pooled_conditional,observed,transit_rough,1872,46,20,29,26,1797,0.40816326530612246,0.43478260869565216,0.42105263157894735,0.01588170865279299,0.33981069097528865,0.6521739130434783,46,0.07608695652173914,92,0.031141868512110725,0.975,0.975
44,pooled_conditional,clean,all,5760,0,0,37,0,5723,0.0,,0.0,0.006423611111111111,,,0,,0,0.016666666666666666,1.0,1.0
44,pooled_conditional,clean,warehouse,1920,0,0,0,0,1920,,,,0.0,,,0,,0,0.0,1.0,1.0
44,pooled_conditional,clean,transit_smooth,1920,0,0,15,0,1905,0.0,,0.0,0.0078125,,,0,,0,0.021875,1.0,1.0
44,pooled_conditional,clean,transit_rough,1920,0,0,22,0,1898,0.0,,0.0,0.011458333333333333,,,0,,0,0.028125,1.0,1.0
44,regime_conditional,observed,all,5646,154,106,162,48,5330,0.39552238805970147,0.6883116883116883,0.5023696682464455,0.029497450837581936,0.5966838201277488,0.8311688311688312,154,0.32792207792207795,308,0.03356481481481482,0.9802083333333333,0.9802083333333333
44,regime_conditional,observed,warehouse,1854,45,37,69,8,1740,0.3490566037735849,0.8222222222222222,0.4900662251655629,0.03814262023217247,0.6954351099394012,0.8444444444444444,45,0.5111111111111111,90,0.038394415357766144,0.965625,0.965625
