scenario,method,alpha,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count
steady_r02,regime_conditional,1.0,observed,0.85,0.09128709291752765,5,0.85,0.09128709291752765,5,0.016666666666666666,0.03726779962499649,5,0.9477777777777778,0.6159355024756054,5,1.4,0.6330043004944313,5
steady_r02,regime_marginal,0.2,clean,0.03333333333333333,0.04564354645876384,5,0.016666666666666666,0.03726779962499649,5,0.03333333333333333,0.07453559924999298,5,2.0,,1,3.9666666666666663,0.07453559924999295,5
steady_r02,regime_marginal,0.2,observed,0.35,0.10865337342004415,5,0.3333333333333333,0.10206207261596575,5,0.03333333333333333,0.07453559924999298,5,2.05,0.5172040216394301,5,3.3833333333333337,0.15138251770487465,5
steady_r02,regime_marginal,1.0,clean,0.0,0.0,5,0.0,0.0,5,0.016666666666666666,0.03726779962499649,5,,,0,4.0,0.0,5
steady_r02,regime_marginal,1.0,observed,0.5833333333333334,0.11785113019775792,5,0.5833333333333334,0.11785113019775792,5,0.016666666666666666,0.03726779962499649,5,0.9638095238095238,0.48699178405023047,5,2.2666666666666666,0.19895560643855528,5
steady_r20,regime_conditional,0.2,clean,0.08333333333333333,0.03928371006591931,5,0.07777777777777778,0.04120110270608702,5,0.01111111111111111,0.015214515486254614,5,7.006666666666666,1.4201721335418775,5,11.588888888888889,0.23846862257038576,5
steady_r20,regime_conditional,0.2,observed,1.0,0.0,5,0.961111111111111,0.04212708580028642,5,0.07777777777777778,0.045643546458763846,5,2.4873015873015873,0.19411745282180856,5,2.8555555555555556,0.48686449556014755,5
steady_r20,regime_conditional,1.0,clean,0.1388888888888889,0.027777777777777773,5,0.1388888888888889,0.027777777777777773,5,0.02222222222222222,0.012422599874998832,5,5.713333333333333,1.522899281706516,5,11.127777777777776,0.2496911672693804,5
steady_r20,regime_conditional,1.0,observed,0.9944444444444445,0.012422599874998795,5,0.9944444444444445,0.012422599874998795,5,0.04444444444444444,0.015214515486254613,5,1.6623809523809523,0.28314908864341565,5,1.722222222222222,0.18215107011950005,5
steady_r20,regime_marginal,0.2,clean,0.05555555555555556,0.019641855032959652,5,0.05,0.023240556292613207,5,0.016666666666666666,0.024845199749997663,5,5.0,1.7677669529663689,5,11.65,0.16964923871780552,5
steady_r20,regime_marginal,0.2,observed,0.9,0.024845199749997642,5,0.8777777777777779,0.031671539586087115,5,0.05,0.036217791140014714,5,4.497521994134898,0.49808319492739805,5,5.411111111111111,0.5518627267136297,5
steady_r20,regime_marginal,1.0,clean,0.11111111111111112,0.08561686115234689,5,0.11111111111111112,0.08561686115234689,5,0.016666666666666666,0.015214515486254614,5,5.2,1.865810815704529,5,11.255555555555556,0.5412747870183209,5
