scenario,method,alpha,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count
steady_k2,regime_conditional,1.0,observed,warehouse,all,0.5238574171592741,0.1191428173437941,5,0.4305555555555555,0.12982582705444387,5,0.6789777341078916,0.09179916479911276,5,0.5676191744068025,0.13242465199191183,5,0.013988095238095239,0.003514482060301261,5,0.04722222222222222,0.018633899812498245,5,0.925,0.05692750425533113,5,0.6666666666666666,0.0,5,0.25555555555555554,0.1377032728660604,5,0.24166666666666664,0.14619663741045297,5,1.0,0.0,5,0.016964285714285716,0.011103524106818653,5,13.59126984126984,3.4114581079463098,5
steady_k2,regime_conditional,1.0,observed,warehouse,stable,0.5238574171592741,0.1191428173437941,5,0.4305555555555555,0.12982582705444387,5,0.6789777341078916,0.09179916479911276,5,0.5676191744068025,0.13242465199191183,5,0.013988095238095239,0.003514482060301261,5,0.04722222222222222,0.018633899812498245,5,0.925,0.05692750425533113,5,0.6666666666666666,0.0,5,0.25555555555555554,0.1377032728660604,5,0.24166666666666664,0.14619663741045297,5,1.0,0.0,5,0.016964285714285716,0.011103524106818653,5,13.59126984126984,3.4114581079463098,5
steady_k2,regime_marginal,0.2,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.013919753086419753,0.011030118906475678,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.01749995647514193,0.011524913474085423,5,4.9074074074074066,2.269095836507753,5
steady_k2,regime_marginal,0.2,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.013919753086419753,0.011030118906475678,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.01749995647514193,0.011524913474085423,5,4.9074074074074066,2.269095836507753,5
steady_k2,regime_marginal,0.2,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015462962962962961,0.011837737544747581,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.016887125220458554,0.018738717707511017,5,5.555555555555555,2.928034870526277,5
steady_k2,regime_marginal,0.2,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015462962962962961,0.011837737544747581,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.016887125220458554,0.018738717707511017,5,5.555555555555555,2.928034870526277,5
steady_k2,regime_marginal,0.2,clean,transit_smooth,all,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.0028703703703703703,0.00326380680222492,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0034562211981566822,0.005265479723810325,5,1.4814814814814814,1.3655445559030208,5
steady_k2,regime_marginal,0.2,clean,transit_smooth,stable,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.0028703703703703703,0.00326380680222492,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0034562211981566822,0.005265479723810325,5,1.4814814814814814,1.3655445559030208,5
steady_k2,regime_marginal,0.2,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.023425925925925923,0.023532913354999987,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.03127976190476191,0.022184700288053215,5,7.685185185185185,6.155840792072097,5
steady_k2,regime_marginal,0.2,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.023425925925925923,0.023532913354999987,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.03127976190476191,0.022184700288053215,5,7.685185185185185,6.155840792072097,5
