seed,scenario,method,alpha,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,event_channel_count
42,switch_d4,regime_conditional,1.0,observed,1.0,1.0,0.041666666666666664,1.4166666666666667,1.4166666666666667,24
42,switch_d4,regime_marginal,0.2,clean,0.125,0.08333333333333333,0.041666666666666664,0.0,8.25,24
42,switch_d4,regime_marginal,0.2,observed,0.7916666666666666,0.7916666666666666,0.08333333333333333,3.473684210526316,4.0,24
42,switch_d4,regime_marginal,1.0,clean,0.08333333333333333,0.08333333333333333,0.0,0.0,8.25,24
42,switch_d4,regime_marginal,1.0,observed,0.9583333333333334,0.9583333333333334,0.0,1.6956521739130435,1.875,24
43,steady_k2,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,3.25,8.270833333333334,48
43,steady_k2,regime_conditional,0.2,observed,0.9375,0.9375,0.020833333333333332,2.066666666666667,2.5625,48
43,steady_k2,regime_conditional,1.0,clean,0.08333333333333333,0.08333333333333333,0.0,2.0,8.416666666666666,48
43,steady_k2,regime_conditional,1.0,observed,0.8125,0.8125,0.020833333333333332,0.717948717948718,2.2083333333333335,48
43,steady_k2,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,4.5,8.6875,48
43,steady_k2,regime_marginal,0.2,observed,0.7291666666666666,0.7291666666666666,0.020833333333333332,3.8857142857142857,4.833333333333333,48
43,steady_k2,regime_marginal,1.0,clean,0.125,0.125,0.0,4.333333333333333,8.416666666666666,48
43,steady_k2,regime_marginal,1.0,observed,0.8125,0.8125,0.0,1.3846153846153846,2.625,48
43,steady_m05,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,24
43,steady_m05,regime_conditional,0.2,observed,0.125,0.125,0.0,2.3333333333333335,8.041666666666666,24
43,steady_m05,regime_conditional,1.0,clean,0.125,0.125,0.0,2.0,8.25,24
43,steady_m05,regime_conditional,1.0,observed,0.20833333333333334,0.20833333333333334,0.0,3.2,7.666666666666667,24
43,steady_m05,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,24
43,steady_m05,regime_marginal,0.2,observed,0.041666666666666664,0.041666666666666664,0.0,3.0,8.625,24
43,steady_m05,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.0,4.8,8.25,24
43,steady_m05,regime_marginal,1.0,observed,0.125,0.125,0.0,3.6666666666666665,8.458333333333334,24
43,steady_m1,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,24
43,steady_m1,regime_conditional,0.2,observed,0.5,0.5,0.0,5.166666666666667,6.583333333333333,24
43,steady_m1,regime_conditional,1.0,clean,0.125,0.125,0.0,2.0,8.25,24
43,steady_m1,regime_conditional,1.0,observed,0.4583333333333333,0.4583333333333333,0.0,3.909090909090909,6.291666666666667,24
43,steady_m1,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,24
43,steady_m1,regime_marginal,0.2,observed,0.125,0.125,0.0,2.0,8.0,24
43,steady_m1,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.0,4.8,8.25,24
43,steady_m1,regime_marginal,1.0,observed,0.3333333333333333,0.3333333333333333,0.0,3.125,6.791666666666667,24
43,steady_m2_r10_k1,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,24
43,steady_m2_r10_k1,regime_conditional,0.2,observed,1.0,1.0,0.0,2.0833333333333335,2.0833333333333335,24
43,steady_m2_r10_k1,regime_conditional,1.0,clean,0.125,0.125,0.0,2.0,8.25,24
43,steady_m2_r10_k1,regime_conditional,1.0,observed,0.9583333333333334,0.9583333333333334,0.0,1.7391304347826086,1.9166666666666667,24
43,steady_m2_r10_k1,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,24
43,steady_m2_r10_k1,regime_marginal,0.2,observed,0.75,0.75,0.0,4.166666666666667,5.125,24
43,steady_m2_r10_k1,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.0,4.8,8.25,24
43,steady_m2_r10_k1,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.0,1.4736842105263157,2.9166666666666665,24
43,steady_m4,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,24
43,steady_m4,regime_conditional,0.2,observed,1.0,0.9583333333333334,0.041666666666666664,0.5217391304347826,0.75,24
43,steady_m4,regime_conditional,1.0,clean,0.125,0.125,0.0,2.0,8.25,24
43,steady_m4,regime_conditional,1.0,observed,1.0,0.9583333333333334,0.041666666666666664,0.0,0.25,24
43,steady_m4,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,24
43,steady_m4,regime_marginal,0.2,observed,1.0,1.0,0.0,1.375,1.375,24
43,steady_m4,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.0,4.8,8.25,24
43,steady_m4,regime_marginal,1.0,observed,1.0,1.0,0.0,0.0,0.0,24
43,steady_r02,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,1.0,3.75,12
43,steady_r02,regime_conditional,0.2,observed,0.6666666666666666,0.6666666666666666,0.0,1.5,2.3333333333333335,12
43,steady_r02,regime_conditional,1.0,clean,0.0,0.0,0.0,,4.0,12
43,steady_r02,regime_conditional,1.0,observed,0.8333333333333334,0.8333333333333334,0.0,1.4,1.8333333333333333,12
43,steady_r02,regime_marginal,0.2,clean,0.0,0.0,0.0,,4.0,12
43,steady_r02,regime_marginal,0.2,observed,0.16666666666666666,0.16666666666666666,0.0,1.5,3.5833333333333335,12
43,steady_r02,regime_marginal,1.0,clean,0.0,0.0,0.0,,4.0,12
43,steady_r02,regime_marginal,1.0,observed,0.75,0.75,0.0,1.3333333333333333,2.0,12
43,steady_r20,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.333333333333333,11.444444444444445,36
43,steady_r20,regime_conditional,0.2,observed,1.0,1.0,0.05555555555555555,2.1944444444444446,2.1944444444444446,36
43,steady_r20,regime_conditional,1.0,clean,0.16666666666666666,0.16666666666666666,0.027777777777777776,5.0,10.833333333333334,36
