seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m05,regime_marginal,observed,transit_rough,all,0.0,0.0,0.0,0.0028810321952400172,-0.004789272030651341,0.006944444444444444,0.19444444444444442,0.0,0.0,0.0,0.0,-0.011111111111111112,-4.7892720306513406,0.2
42,steady_m05,regime_marginal,observed,transit_rough,stable,0.0,0.0,0.0,0.0028810321952400172,-0.004789272030651341,0.006944444444444444,0.19444444444444442,0.0,0.0,0.0,0.0,-0.011111111111111112,-4.7892720306513406,0.2
42,steady_m05,regime_conditional,clean,all,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m05,regime_conditional,clean,all,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m05,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
42,steady_m05,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
42,steady_m05,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m05,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m05,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m05,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m05,regime_conditional,observed,all,all,0.05705875426822089,0.037037037037037035,0.12283492400141391,0.03909871030120256,-0.0033524904214559392,-0.006944444444444444,0.125,0.0,0.037037037037037035,0.041666666666666664,0.0,-0.01111111111111111,-5.4278416347381855,0.2
42,steady_m05,regime_conditional,observed,all,stable,0.05705875426822089,0.037037037037037035,0.12283492400141391,0.03909871030120256,-0.0033524904214559392,-0.006944444444444444,0.125,0.0,0.037037037037037035,0.041666666666666664,0.0,-0.01111111111111111,-5.4278416347381855,0.2
42,steady_m05,regime_conditional,observed,warehouse,all,0.10410035573862572,0.06944444444444445,0.20374220374220375,0.05089822917397406,-0.007662835249042146,0.0,0.1388888888888889,0.0,0.06944444444444445,0.08333333333333333,0.0,-0.020833333333333332,-10.057471264367816,0.2
42,steady_m05,regime_conditional,observed,warehouse,stable,0.10410035573862572,0.06944444444444445,0.20374220374220375,0.05089822917397406,-0.007662835249042146,0.0,0.1388888888888889,0.0,0.06944444444444445,0.08333333333333333,0.0,-0.020833333333333332,-10.057471264367816,0.2
42,steady_m05,regime_conditional,observed,transit_smooth,all,-0.02127659574468085,-0.013888888888888888,-0.045454545454545456,0.018389446316438796,-0.004310344827586207,-0.020833333333333332,0.125,0.0,-0.013888888888888888,-0.013888888888888888,0.0,-0.023809523809523808,-5.268199233716475,0.2
42,steady_m05,regime_conditional,observed,transit_smooth,stable,-0.02127659574468085,-0.013888888888888888,-0.045454545454545456,0.018389446316438796,-0.004310344827586207,-0.020833333333333332,0.125,0.0,-0.013888888888888888,-0.013888888888888888,0.0,-0.023809523809523808,-5.268199233716475,0.2
42,steady_m05,regime_conditional,observed,transit_rough,all,0.07603474706182933,0.05555555555555556,0.11781206171107994,0.04796906915008938,0.0019157088122605352,0.0,0.11111111111111116,0.0,0.05555555555555556,0.05555555555555556,0.0,0.011111111111111113,-0.9578544061302665,0.2
42,steady_m05,regime_conditional,observed,transit_rough,stable,0.07603474706182933,0.05555555555555556,0.11781206171107994,0.04796906915008938,0.0019157088122605352,0.0,0.11111111111111116,0.0,0.05555555555555556,0.05555555555555556,0.0,0.011111111111111113,-0.9578544061302665,0.2
42,steady_m1,regime_marginal,clean,all,all,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m1,regime_marginal,clean,all,stable,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m1,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
