seed,scenario,method,alpha,view,regime,window,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m1,regime_marginal,1.0,clean,warehouse,stable,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,,96,0.020833333333333332,9.722222222222221
42,steady_m1,regime_marginal,1.0,clean,transit_smooth,all,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,84,0.0,6.944444444444445
42,steady_m1,regime_marginal,1.0,clean,transit_smooth,stable,2160,0,0,15,0,2145,0.0,,0.0,0.006944444444444444,,,0,,0,0.020833333333333332,1.0,1.0,,,,84,0.0,6.944444444444445
42,steady_m1,regime_marginal,1.0,clean,transit_rough,all,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,90,0.011111111111111112,5.555555555555555
42,steady_m1,regime_marginal,1.0,clean,transit_rough,stable,2160,0,0,12,0,2148,0.0,,0.0,0.005555555555555556,,,0,,0,0.016666666666666666,1.0,1.0,,,,90,0.011111111111111112,5.555555555555555
42,steady_m1,regime_marginal,1.0,observed,all,all,6480,216,11,50,205,6214,0.18032786885245902,0.05092592592592592,0.07942238267148015,0.007982120051085569,0.07859919967723003,0.5694444444444444,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.05092592592592592,0.05092592592592592,270,0.011111111111111112,7.662835249042145
42,steady_m1,regime_marginal,1.0,observed,all,stable,6480,216,11,50,205,6214,0.18032786885245902,0.05092592592592592,0.07942238267148015,0.007982120051085569,0.07859919967723003,0.5694444444444444,216,0.0,432,0.025205761316872428,1.0,1.0,0.3333333333333333,0.05092592592592592,0.05092592592592592,270,0.011111111111111112,7.662835249042145
42,steady_m1,regime_marginal,1.0,observed,warehouse,all,2160,72,3,23,69,2065,0.11538461538461539,0.041666666666666664,0.061224489795918366,0.011015325670498084,0.0799718064078174,0.5694444444444444,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.041666666666666664,0.041666666666666664,96,0.020833333333333332,10.057471264367816
42,steady_m1,regime_marginal,1.0,observed,warehouse,stable,2160,72,3,23,69,2065,0.11538461538461539,0.041666666666666664,0.061224489795918366,0.011015325670498084,0.0799718064078174,0.5694444444444444,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.041666666666666664,0.041666666666666664,96,0.020833333333333332,10.057471264367816
42,steady_m1,regime_marginal,1.0,observed,transit_smooth,all,2160,72,2,15,70,2073,0.11764705882352941,0.027777777777777776,0.0449438202247191,0.007183908045977011,0.05939148244186629,0.5555555555555556,72,0.0,144,0.023148148148148147,1.0,1.0,0.3333333333333333,0.027777777777777776,0.027777777777777776,84,0.0,7.183908045977011
