seed,method,alpha,regime,channel,threshold,n_calibration_cells,calibration_fpr
43,regime_conditional,0.2,transit_rough,1,0.9311742244312711,720,0.011111111111111112
43,regime_conditional,0.2,transit_rough,2,0.974617171601991,720,0.011111111111111112
43,regime_conditional,0.2,transit_smooth,0,1.3158651965169257,720,0.011111111111111112
43,regime_conditional,0.2,transit_smooth,1,0.8986902112852968,720,0.011111111111111112
43,regime_conditional,0.2,transit_smooth,2,0.8271926535486248,720,0.011111111111111112
43,regime_conditional,0.2,warehouse,0,1.0961200034386687,720,0.011111111111111112
43,regime_conditional,0.2,warehouse,1,0.7810518356040426,720,0.011111111111111112
43,regime_conditional,0.2,warehouse,2,0.700720562269717,720,0.011111111111111112
44,regime_marginal,1.0,transit_rough,0,2.5180014582288615,720,0.011111111111111112
44,regime_marginal,1.0,transit_rough,1,2.9397705071161506,720,0.011111111111111112
44,regime_marginal,1.0,transit_rough,2,2.5914796716207724,720,0.011111111111111112
44,regime_marginal,1.0,transit_smooth,0,2.603532918579993,720,0.011111111111111112
44,regime_marginal,1.0,transit_smooth,1,2.6251419845271142,720,0.011111111111111112
44,regime_marginal,1.0,transit_smooth,2,2.651483289237269,720,0.011111111111111112
44,regime_marginal,1.0,warehouse,0,2.5548853367508153,720,0.011111111111111112
44,regime_marginal,1.0,warehouse,1,2.527341440528899,720,0.011111111111111112
44,regime_marginal,1.0,warehouse,2,2.2825660838455093,720,0.011111111111111112
44,regime_marginal,0.2,transit_rough,0,1.5259372507809852,720,0.011111111111111112
44,regime_marginal,0.2,transit_rough,1,1.261926561238145,720,0.011111111111111112
44,regime_marginal,0.2,transit_rough,2,1.2587975370020252,720,0.011111111111111112
44,regime_marginal,0.2,transit_smooth,0,1.8266812296987178,720,0.011111111111111112
44,regime_marginal,0.2,transit_smooth,1,1.6188968275918574,720,0.011111111111111112
44,regime_marginal,0.2,transit_smooth,2,1.5113605927935105,720,0.011111111111111112
44,regime_marginal,0.2,warehouse,0,1.5848815271959429,720,0.011111111111111112
44,regime_marginal,0.2,warehouse,1,1.2342359542821808,720,0.011111111111111112
44,regime_marginal,0.2,warehouse,2,1.0178884178654066,720,0.011111111111111112
44,regime_conditional,1.0,transit_rough,0,2.4395719480619755,720,0.011111111111111112
44,regime_conditional,1.0,transit_rough,1,2.7851213971378703,720,0.011111111111111112
44,regime_conditional,1.0,transit_rough,2,2.581606895945965,720,0.011111111111111112
44,regime_conditional,1.0,transit_smooth,0,2.619403134332737,720,0.011111111111111112
44,regime_conditional,1.0,transit_smooth,1,2.549879378081021,720,0.011111111111111112
44,regime_conditional,1.0,transit_smooth,2,2.4841621669536034,720,0.011111111111111112
44,regime_conditional,1.0,warehouse,0,2.569701332385046,720,0.011111111111111112
44,regime_conditional,1.0,warehouse,1,2.3621282378389044,720,0.011111111111111112
44,regime_conditional,1.0,warehouse,2,2.085952714700601,720,0.011111111111111112
44,regime_conditional,0.2,transit_rough,0,1.1241379577179047,720,0.011111111111111112
44,regime_conditional,0.2,transit_rough,1,0.9272159691426122,720,0.011111111111111112
44,regime_conditional,0.2,transit_rough,2,0.9326092165340923,720,0.011111111111111112
44,regime_conditional,0.2,transit_smooth,0,1.0868519811748665,720,0.011111111111111112
44,regime_conditional,0.2,transit_smooth,1,0.8901844805363722,720,0.011111111111111112
44,regime_conditional,0.2,transit_smooth,2,0.8946262083216165,720,0.011111111111111112
44,regime_conditional,0.2,warehouse,0,1.3095833790868532,720,0.011111111111111112
44,regime_conditional,0.2,warehouse,1,0.9008689939457615,720,0.011111111111111112
44,regime_conditional,0.2,warehouse,2,0.7446990535080958,720,0.011111111111111112
45,regime_marginal,1.0,transit_rough,0,2.288552442792231,720,0.011111111111111112
45,regime_marginal,1.0,transit_rough,1,2.3839540960621246,720,0.011111111111111112
45,regime_marginal,1.0,transit_rough,2,2.4028208519192202,720,0.011111111111111112
45,regime_marginal,1.0,transit_smooth,0,2.521556202497701,720,0.011111111111111112
45,regime_marginal,1.0,transit_smooth,1,2.6089877034670708,720,0.011111111111111112
45,regime_marginal,1.0,transit_smooth,2,2.804381553990723,720,0.011111111111111112
45,regime_marginal,1.0,warehouse,0,2.4652432894192784,720,0.011111111111111112
45,regime_marginal,1.0,warehouse,1,2.667157704465877,720,0.011111111111111112
45,regime_marginal,1.0,warehouse,2,2.374308456645836,720,0.011111111111111112
45,regime_marginal,0.2,transit_rough,0,1.4063561042608248,720,0.011111111111111112
45,regime_marginal,0.2,transit_rough,1,1.1829521373810652,720,0.011111111111111112
45,regime_marginal,0.2,transit_rough,2,1.0371895826339177,720,0.011111111111111112
45,regime_marginal,0.2,transit_smooth,0,1.4871580669134672,720,0.011111111111111112
45,regime_marginal,0.2,transit_smooth,1,1.192445682960207,720,0.011111111111111112
45,regime_marginal,0.2,transit_smooth,2,1.3661024595142137,720,0.011111111111111112
45,regime_marginal,0.2,warehouse,0,1.5442698228320766,720,0.011111111111111112
45,regime_marginal,0.2,warehouse,1,1.4581349448527858,720,0.011111111111111112
45,regime_marginal,0.2,warehouse,2,0.909966518343375,720,0.011111111111111112
45,regime_conditional,1.0,transit_rough,0,2.278647023190333,720,0.011111111111111112
