seed,method,regime,channel,threshold,n_calibration_cells,calibration_fpr
44,regime_marginal,transit_rough,1,1.2997701002264779,688,0.010174418604651164
44,regime_marginal,transit_rough,2,1.3420368526588846,688,0.010174418604651164
44,regime_marginal,transit_smooth,0,1.8675119563717124,688,0.010174418604651164
44,regime_marginal,transit_smooth,1,1.760000257490201,688,0.010174418604651164
44,regime_marginal,transit_smooth,2,1.666629138264637,688,0.010174418604651164
44,regime_marginal,warehouse,0,1.6707061288133398,688,0.010174418604651164
44,regime_marginal,warehouse,1,1.3604713016015715,688,0.010174418604651164
44,regime_marginal,warehouse,2,1.188801750774986,688,0.010174418604651164
44,regime_conditional,transit_rough,0,1.1298707053738817,688,0.010174418604651164
44,regime_conditional,transit_rough,1,0.934179407727136,688,0.010174418604651164
44,regime_conditional,transit_rough,2,0.9969791762046737,688,0.010174418604651164
44,regime_conditional,transit_smooth,0,1.1416241772061664,688,0.010174418604651164
44,regime_conditional,transit_smooth,1,0.9730829820907437,688,0.010174418604651164
44,regime_conditional,transit_smooth,2,0.972565502322939,688,0.010174418604651164
44,regime_conditional,warehouse,0,1.3929645282197074,688,0.010174418604651164
44,regime_conditional,warehouse,1,0.8945385421624272,688,0.010174418604651164
44,regime_conditional,warehouse,2,0.7303603539822908,688,0.010174418604651164
45,regime_marginal,transit_rough,0,1.4815887279159825,688,0.010174418604651164
45,regime_marginal,transit_rough,1,1.219058617919454,688,0.010174418604651164
45,regime_marginal,transit_rough,2,1.1043578485657923,688,0.010174418604651164
45,regime_marginal,transit_smooth,0,1.6570942266680908,688,0.010174418604651164
45,regime_marginal,transit_smooth,1,1.3149060523659561,688,0.010174418604651164
45,regime_marginal,transit_smooth,2,1.2730945874689588,688,0.010174418604651164
45,regime_marginal,warehouse,0,1.5899351950358909,688,0.010174418604651164
45,regime_marginal,warehouse,1,1.459999311702899,688,0.010174418604651164
45,regime_marginal,warehouse,2,0.9486282444846771,688,0.010174418604651164
45,regime_conditional,transit_rough,0,1.202424781404876,688,0.010174418604651164
45,regime_conditional,transit_rough,1,1.0569718828402348,688,0.010174418604651164
45,regime_conditional,transit_rough,2,0.8887544817726302,688,0.010174418604651164
45,regime_conditional,transit_smooth,0,1.2986323620998437,688,0.010174418604651164
45,regime_conditional,transit_smooth,1,0.8257955206013595,688,0.010174418604651164
45,regime_conditional,transit_smooth,2,0.9582175561423304,688,0.010174418604651164
45,regime_conditional,warehouse,0,1.2332012389532654,688,0.010174418604651164
45,regime_conditional,warehouse,1,0.9016572154586882,688,0.010174418604651164
45,regime_conditional,warehouse,2,0.7627540880201422,688,0.010174418604651164
46,regime_marginal,transit_rough,0,1.9267008190477488,688,0.010174418604651164
46,regime_marginal,transit_rough,1,1.202424707386228,688,0.010174418604651164
46,regime_marginal,transit_rough,2,1.1819179761870757,688,0.010174418604651164
46,regime_marginal,transit_smooth,0,1.8174509098808516,688,0.010174418604651164
46,regime_marginal,transit_smooth,1,1.5695018740630475,688,0.010174418604651164
46,regime_marginal,transit_smooth,2,1.428440732216448,688,0.010174418604651164
46,regime_marginal,warehouse,0,1.4478777671092846,688,0.010174418604651164
46,regime_marginal,warehouse,1,1.3027617771089834,688,0.010174418604651164
46,regime_marginal,warehouse,2,0.9970345248260509,688,0.010174418604651164
46,regime_conditional,transit_rough,0,1.439567789899928,688,0.010174418604651164
46,regime_conditional,transit_rough,1,0.7541723069032195,688,0.010174418604651164
46,regime_conditional,transit_rough,2,0.8563622088856153,688,0.010174418604651164
46,regime_conditional,transit_smooth,0,1.265834473513782,688,0.010174418604651164
46,regime_conditional,transit_smooth,1,0.9558781243837807,688,0.010174418604651164
46,regime_conditional,transit_smooth,2,0.9103261723716607,688,0.010174418604651164
46,regime_conditional,warehouse,0,1.1441434402905781,688,0.010174418604651164
46,regime_conditional,warehouse,1,0.8993075366332773,688,0.010174418604651164
46,regime_conditional,warehouse,2,0.8245710790219078,688,0.010174418604651164
