seed,scenario,method,view,regime,window,support,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,steady_k2,regime_marginal,observed,transit_rough,all,own,-0.05597454117441908,-0.006944444444444475,-0.2356345597354278,-0.1605641755860847,0.012797619047619047,0.013888888888888888,-0.11111111111111116,0.0,0.09722222222222221,0.09722222222222221,-0.0444444444444444,0.1611111111111111,-2.306547619047619,-0.0444444444444444,0.0,-0.006944444444444475,-0.05597454117441908,0.0,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_rough,stable,common,-0.058266888635766234,-0.006944444444444475,-0.24936921783010924,-0.16795554318967498,0.013020833333333332,0.013888888888888888,-0.11111111111111116,0.0,0.09722222222222221,0.09722222222222221,0.0,0.1611111111111111,-2.0833333333333335,-0.0444444444444444,0.0,-0.006944444444444475,-0.05597454117441908,0.0,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_rough,stable,own,-0.05597454117441908,-0.006944444444444475,-0.2356345597354278,-0.1605641755860847,0.012797619047619047,0.013888888888888888,-0.11111111111111116,0.0,0.09722222222222221,0.09722222222222221,-0.0444444444444444,0.1611111111111111,-2.306547619047619,-0.0444444444444444,0.0,-0.006944444444444475,-0.05597454117441908,0.0,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_smooth,all,common,0.17805092186128185,0.1796875,0.03196347031963476,0.08688215884664435,0.004132231404958678,0.09375,-0.140625,0.0,0.234375,0.234375,0.0,0.08333333333333333,-6.198347107438017,-0.0444444444444444,0.0,0.11111111111111113,0.10922134068126754,0.1111111111111111,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_smooth,all,own,0.14663794429912297,0.15538194444444445,-0.001369863013698569,0.03580978870508744,0.003923160173160174,0.09375,-0.14583333333333337,0.0,0.21354166666666669,0.21354166666666669,-0.0444444444444444,0.08333333333333333,-6.407418339236521,-0.0444444444444444,0.0,0.11111111111111113,0.10922134068126754,0.1111111111111111,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_smooth,stable,common,0.17805092186128185,0.1796875,0.03196347031963476,0.08688215884664435,0.004132231404958678,0.09375,-0.140625,0.0,0.234375,0.234375,0.0,0.08333333333333333,-6.198347107438017,-0.0444444444444444,0.0,0.11111111111111113,0.10922134068126754,0.1111111111111111,sma_minus_point
42,steady_k2,regime_marginal,observed,transit_smooth,stable,own,0.14663794429912297,0.15538194444444445,-0.001369863013698569,0.03580978870508744,0.003923160173160174,0.09375,-0.14583333333333337,0.0,0.21354166666666669,0.21354166666666669,-0.0444444444444444,0.08333333333333333,-6.407418339236521,-0.0444444444444444,0.0,0.11111111111111113,0.10922134068126754,0.1111111111111111,sma_minus_point
42,steady_k2,regime_marginal,observed,warehouse,all,common,0.0071428571428571175,0.14393939393939398,-0.22933227344992047,-0.03177262201238856,0.03157349896480331,0.045454545454545456,-0.1515151515151516,0.0,0.31818181818181823,0.31818181818181823,0.0,0.2074468085106383,-1.0351966873706004,-0.0444444444444444,0.0,0.09027777777777773,-0.02953374387331914,0.08333333333333333,sma_minus_point
42,steady_k2,regime_marginal,observed,warehouse,all,own,-0.010747051114023631,0.13068181818181818,-0.2567567567567567,-0.04644766956790397,0.032069530710835056,0.045454545454545456,-0.1553030303030304,-1.1102230246251565e-16,0.3257575757575758,0.3257575757575758,-0.0444444444444444,0.20777925531914893,-0.5822981366459619,-0.0444444444444444,0.0,0.09027777777777773,-0.02953374387331914,0.08333333333333333,sma_minus_point
42,steady_k2,regime_marginal,observed,warehouse,stable,common,0.0071428571428571175,0.14393939393939398,-0.22933227344992047,-0.03177262201238856,0.03157349896480331,0.045454545454545456,-0.1515151515151516,0.0,0.31818181818181823,0.31818181818181823,0.0,0.2074468085106383,-1.0351966873706004,-0.0444444444444444,0.0,0.09027777777777773,-0.02953374387331914,0.08333333333333333,sma_minus_point
