scenario,method,temporal,view,regime,window,support,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
switch_d0,regime_marginal,sma,observed,transit_rough,all,own,0.3617364874304617,0.14717747422457456,5,0.32930994152046783,0.11227551919082251,5,0.44275002723278584,0.2590690153359856,5,0.34594373834889736,0.16034382502116246,5,0.017275238974103144,0.014616811614491526,5,0.0045,0.006224949798994367,5,0.7781929824561404,0.04812823040606299,5,0.33333333333333337,6.798699777552591e-17,5,0.32930994152046783,0.11227551919082251,5,0.32930994152046783,0.11227551919082251,5,0.8666666666666668,0.0,5,0.08035072844932,0.07423471859208775,5,5.074189796925813,2.8292080231330647,5,0.8666666666666668,0.0,5,0.8666666666666668,0.0,5,0.28847953216374267,0.11189428511782908,5,0.3372345065562457,0.14375964381140177,5,0.1408576998050682,0.09363196267805586,5
switch_d0,regime_marginal,sma,observed,transit_rough,stable,common,0.3573807202396483,0.1368501850836053,5,0.3175,0.10577280275415386,5,0.44879349898532644,0.24222403254263897,5,0.3428233579002299,0.15093523765401265,5,0.017303527354151502,0.01564832251407819,5,0.004583333333333333,0.006319062870042959,5,0.7737499999999999,0.04990442253837721,5,0.33333333333333337,5.551115123125783e-17,5,0.3175,0.10577280275415386,5,0.3175,0.10577280275415386,5,1.0,0.0,5,0.08492063492063492,0.07723327381398644,5,4.8901968345462095,2.9054018123167684,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.3125,0.11578702778147963,5,0.3555324337552432,0.1408211875910439,5,0.03333333333333333,0.07453559924999298,5
switch_d0,regime_marginal,sma,observed,transit_rough,stable,own,0.3573807202396483,0.1368501850836053,5,0.3175,0.10577280275415386,5,0.44879349898532644,0.24222403254263897,5,0.3428233579002299,0.15093523765401265,5,0.017303527354151502,0.01564832251407819,5,0.004583333333333333,0.006319062870042959,5,0.7737499999999999,0.04990442253837721,5,0.33333333333333337,5.551115123125783e-17,5,0.3175,0.10577280275415386,5,0.3175,0.10577280275415386,5,0.9487179487179487,0.0,5,0.08492063492063492,0.07723327381398644,5,4.8901968345462095,2.9054018123167684,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.3125,0.11578702778147963,5,0.3555324337552432,0.1408211875910439,5,0.03333333333333333,0.07453559924999298,5
switch_d0,regime_marginal,sma,observed,transit_rough,transition,common,0.6296296296296297,0.5480980958129164,3,1.0,0.0,2,0.6,0.5291502622129182,3,1.0,0.0,2,0.016757246376811592,0.03174492555955626,5,0.0,0.0,2,1.0,0.0,2,0.3333333333333333,0.0,2,1.0,0.0,2,1.0,0.0,2,1.0,0.0,5,0.05,0.1118033988749895,5,8.423913043478262,13.600536691567607,5,0.3333333333333333,0.0,5,0.3333333333333333,0.0,5,0.1111111111111111,0.12830005981991682,4,0.17786561264822134,0.2054829166258962,4,0.8888888888888888,0.12830005981991682,4
switch_d0,regime_marginal,sma,observed,transit_rough,transition,own,0.6296296296296297,0.5480980958129164,3,1.0,0.0,2,0.6,0.5291502622129182,3,1.0,0.0,2,0.016757246376811592,0.03174492555955626,5,0.0,0.0,2,1.0,0.0,2,0.3333333333333333,0.0,2,1.0,0.0,2,1.0,0.0,2,0.3333333333333333,0.0,5,0.05,0.1118033988749895,5,8.423913043478262,13.600536691567607,5,0.3333333333333333,0.0,5,0.3333333333333333,0.0,5,0.1111111111111111,0.12830005981991682,4,0.17786561264822134,0.2054829166258962,4,0.8888888888888888,0.12830005981991682,4
switch_d0,regime_marginal,sma,observed,transit_smooth,all,common,0.3665397128613025,0.1944790803364985,5,0.3108863066757804,0.16119086278028721,5,0.48240483718987387,0.26099856515809594,5,0.33287683992493833,0.19504446910337875,5,0.010877746009345698,0.007466832801277716,5,0.018571428571428572,0.030970690555255427,5,0.8058783321941216,0.07461411845114856,5,0.3333333333333333,1.2412670766236366e-16,5,0.3108863066757804,0.16119086278028721,5,0.3108863066757804,0.16119086278028721,5,1.0,0.0,5,0.09068478260869565,0.07457166992616271,5,2.52447383594616,2.000407299587494,5,0.8666666666666668,0.0,5,0.8666666666666668,0.0,5,0.26070318570318574,0.15505915140100754,5,0.32434494219726173,0.1889681448927384,5,0.1998057498057498,0.13692541734123392,5
switch_d0,regime_marginal,sma,observed,transit_smooth,all,own,0.3665397128613025,0.1944790803364985,5,0.3108863066757804,0.16119086278028721,5,0.48240483718987387,0.26099856515809594,5,0.33287683992493833,0.19504446910337875,5,0.010877746009345698,0.007466832801277716,5,0.018571428571428572,0.030970690555255427,5,0.8058783321941216,0.07461411845114856,5,0.3333333333333333,1.2412670766236366e-16,5,0.3108863066757804,0.16119086278028721,5,0.3108863066757804,0.16119086278028721,5,0.8666666666666668,0.0,5,0.09068478260869565,0.07457166992616271,5,2.52447383594616,2.000407299587494,5,0.8666666666666668,0.0,5,0.8666666666666668,0.0,5,0.26070318570318574,0.15505915140100754,5,0.32434494219726173,0.1889681448927384,5,0.1998057498057498,0.13692541734123392,5
switch_d0,regime_marginal,sma,observed,transit_smooth,stable,common,0.3809378336191866,0.18214293235400272,5,0.32406926406926406,0.1453580771629257,5,0.49439841106581317,0.25469060994364634,5,0.334946988172306,0.19653402624759259,5,0.01066527189127175,0.007111543971070165,5,0.004285714285714286,0.0095831484749991,5,0.837056277056277,0.044673353089150984,5,0.3333333333333333,1.0007415106216802e-16,5,0.32406926406926406,0.1453580771629257,5,0.32406926406926406,0.1453580771629257,5,1.0,0.0,5,0.09306637806637806,0.07598476721620788,5,2.3155542298333556,1.87561190465545,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.30069930069930073,0.13912491287944592,5,0.3600862605282697,0.17295749322115375,5,0.07435897435897436,0.07275005620056978,5
switch_d0,regime_marginal,sma,observed,transit_smooth,stable,own,0.3809378336191866,0.18214293235400272,5,0.32406926406926406,0.1453580771629257,5,0.49439841106581317,0.25469060994364634,5,0.334946988172306,0.19653402624759259,5,0.01066527189127175,0.007111543971070165,5,0.004285714285714286,0.0095831484749991,5,0.837056277056277,0.044673353089150984,5,0.3333333333333333,1.0007415106216802e-16,5,0.32406926406926406,0.1453580771629257,5,0.32406926406926406,0.1453580771629257,5,0.9487179487179487,0.0,5,0.09306637806637806,0.07598476721620788,5,2.3155542298333556,1.87561190465545,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.30069930069930073,0.13912491287944592,5,0.3600862605282697,0.17295749322115375,5,0.07435897435897436,0.07275005620056978,5
switch_d0,regime_marginal,sma,observed,transit_smooth,transition,common,0.0,0.0,3,0.0,0.0,2,0.0,0.0,3,0.30904313569848374,0.19418762572382006,2,0.015135046113306983,0.018084323827316975,5,0.25,0.3535533905932738,2,0.3125,0.4419417382415922,2,0.3333333333333333,0.0,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,5,0.1,0.13693063937629152,5,6.529973649538867,5.970423865735293,5,0.3333333333333333,0.0,5,0.3333333333333333,0.0,5,0.0,0.0,4,0.0,0.0,4,0.85,0.1753303759784389,4
switch_d0,regime_marginal,sma,observed,transit_smooth,transition,own,0.0,0.0,3,0.0,0.0,2,0.0,0.0,3,0.30904313569848374,0.19418762572382006,2,0.015135046113306983,0.018084323827316975,5,0.25,0.3535533905932738,2,0.3125,0.4419417382415922,2,0.3333333333333333,0.0,2,0.0,0.0,2,0.0,0.0,2,0.3333333333333333,0.0,5,0.1,0.13693063937629152,5,6.529973649538867,5.970423865735293,5,0.3333333333333333,0.0,5,0.3333333333333333,0.0,5,0.0,0.0,4,0.0,0.0,4,0.85,0.1753303759784389,4
switch_d0,regime_marginal,sma,observed,warehouse,all,common,0.40292666445352643,0.10054793147879303,5,0.4077738095238095,0.09841037063619276,5,0.4356051497678292,0.16447554038494078,5,0.3846206308606523,0.14150161806027264,5,0.024286620977581996,0.015851659254981533,5,0.005405405405405406,0.012086853932431297,5,0.795065637065637,0.08498056711858996,5,0.33333333333333326,4.8074067159589095e-17,5,0.4077738095238095,0.09841037063619276,5,0.4077738095238095,0.09841037063619276,5,1.0,0.0,5,0.20086018617973506,0.07150455353812107,5,4.658235725084445,2.4877076777722014,5,0.8666666666666668,0.0,5,0.8666666666666668,0.0,5,0.3440097402597403,0.07799131217326453,5,0.37396187184777124,0.10075695729493449,5,0.14987373737373738,0.0988681513991518,5
switch_d0,regime_marginal,sma,observed,warehouse,all,own,0.40292666445352643,0.10054793147879303,5,0.4077738095238095,0.09841037063619276,5,0.4356051497678292,0.16447554038494078,5,0.3846206308606523,0.14150161806027264,5,0.024286620977581996,0.015851659254981533,5,0.005405405405405406,0.012086853932431297,5,0.795065637065637,0.08498056711858996,5,0.33333333333333326,4.8074067159589095e-17,5,0.4077738095238095,0.09841037063619276,5,0.4077738095238095,0.09841037063619276,5,0.8666666666666668,0.0,5,0.20086018617973506,0.07150455353812107,5,4.658235725084445,2.4877076777722014,5,0.8666666666666668,0.0,5,0.8666666666666668,0.0,5,0.3440097402597403,0.07799131217326453,5,0.37396187184777124,0.10075695729493449,5,0.14987373737373738,0.0988681513991518,5
switch_d0,regime_marginal,sma,observed,warehouse,stable,common,0.38385011521834367,0.12041865604276317,5,0.3845221626199887,0.09610406905150765,5,0.4233590861862869,0.19068662261668293,5,0.3682549863391376,0.14341662862827612,5,0.02523200615558214,0.016902148636752864,5,0.006060606060606061,0.01355192713636236,5,0.786386222473179,0.08743806316330408,5,0.33333333333333326,6.798699777552591e-17,5,0.3845221626199887,0.09610406905150765,5,0.3845221626199887,0.09610406905150765,5,1.0,0.0,5,0.1995035460992908,0.07870080658693485,5,4.7902316422564395,2.7000696437324017,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.347729536258948,0.07992694763563504,5,0.3661025107580479,0.11247587712765963,5,0.09139433551198256,0.067760019214911,5
switch_d0,regime_marginal,sma,observed,warehouse,stable,own,0.38385011521834367,0.12041865604276317,5,0.3845221626199887,0.09610406905150765,5,0.4233590861862869,0.19068662261668293,5,0.3682549863391376,0.14341662862827612,5,0.02523200615558214,0.016902148636752864,5,0.006060606060606061,0.01355192713636236,5,0.786386222473179,0.08743806316330408,5,0.33333333333333326,6.798699777552591e-17,5,0.3845221626199887,0.09610406905150765,5,0.3845221626199887,0.09610406905150765,5,0.9487179487179487,0.0,5,0.1995035460992908,0.07870080658693485,5,4.7902316422564395,2.7000696437324017,5,0.9487179487179487,0.0,5,0.9487179487179487,0.0,5,0.347729536258948,0.07992694763563504,5,0.3661025107580479,0.11247587712765963,5,0.09139433551198256,0.067760019214911,5
