seed,scenario,method,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,comparison
42,steady_m4,regime_conditional,observed,-0.04166666666666663,0.0,0.0,1.8636363636363635,1.7083333333333335,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m4,regime_marginal,clean,0.041666666666666664,0.0,0.0,,0.0,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_m4,regime_marginal,observed,-0.04166666666666663,-0.04166666666666674,0.0,2.6126482213438735,2.625,-0.06944444444444453,0.041666666666666664,sma_minus_point
42,steady_r02,regime_conditional,clean,0.0,0.0,-0.08333333333333333,,0.0,-0.08333333333333337,0.08333333333333333,sma_minus_point
42,steady_r02,regime_conditional,observed,-0.25,-0.25,-0.08333333333333333,1.4444444444444444,1.5833333333333333,-0.08333333333333337,0.08333333333333333,sma_minus_point
42,steady_r02,regime_marginal,clean,0.08333333333333333,0.0,0.0,,0.0,-0.08333333333333337,0.08333333333333333,sma_minus_point
42,steady_r02,regime_marginal,observed,-0.41666666666666674,-0.41666666666666674,0.0,0.5,1.3333333333333335,-0.08333333333333337,0.08333333333333333,sma_minus_point
42,steady_r20,regime_conditional,clean,-0.1111111111111111,-0.1111111111111111,-0.027777777777777776,,0.5,-0.05555555555555558,0.0,sma_minus_point
42,steady_r20,regime_conditional,observed,0.02777777777777779,-0.02777777777777779,0.05555555555555555,2.712605042016807,2.8611111111111116,-0.05555555555555558,0.0,sma_minus_point
42,steady_r20,regime_marginal,clean,0.0,-0.027777777777777776,0.0,1.0,0.1388888888888875,-0.05555555555555558,0.0,sma_minus_point
42,steady_r20,regime_marginal,observed,-0.02777777777777779,-0.05555555555555558,0.05555555555555555,2.661471861471862,2.944444444444444,-0.05555555555555558,0.0,sma_minus_point
42,switch_d0,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,,0.25,-0.16666666666666663,0.08333333333333333,sma_minus_point
42,switch_d0,regime_conditional,observed,-0.125,-0.16666666666666674,0.0,2.2608695652173916,2.2500000000000004,-0.16666666666666663,0.08333333333333333,sma_minus_point
42,switch_d0,regime_marginal,clean,0.041666666666666664,0.0,0.041666666666666664,,0.0,-0.16666666666666663,0.08333333333333333,sma_minus_point
42,switch_d0,regime_marginal,observed,-0.20833333333333326,-0.25,0.08333333333333333,3.3863636363636367,3.0416666666666665,-0.16666666666666663,0.08333333333333333,sma_minus_point
42,switch_d12,regime_conditional,clean,-0.04166666666666666,-0.04166666666666666,-0.041666666666666664,-0.6666666666666665,0.2916666666666661,-0.11111111111111116,0.08333333333333333,sma_minus_point
42,switch_d12,regime_conditional,observed,-0.16666666666666663,-0.20833333333333337,0.0,1.7938596491228072,2.375,-0.11111111111111116,0.08333333333333333,sma_minus_point
42,switch_d12,regime_marginal,clean,0.04166666666666667,0.0,0.041666666666666664,1.0,0.08333333333333393,-0.11111111111111116,0.08333333333333333,sma_minus_point
42,switch_d12,regime_marginal,observed,-0.20833333333333326,-0.25,0.08333333333333333,2.8295454545454546,3.0000000000000004,-0.11111111111111116,0.08333333333333333,sma_minus_point
42,switch_d4,regime_conditional,clean,-0.08333333333333333,-0.08333333333333333,-0.041666666666666664,-2.5,0.5416666666666661,-0.13888888888888884,0.041666666666666664,sma_minus_point
42,switch_d4,regime_conditional,observed,-0.125,-0.16666666666666663,0.0,1.7833333333333334,2.25,-0.13888888888888884,0.041666666666666664,sma_minus_point
42,switch_d4,regime_marginal,clean,0.04166666666666667,0.0,0.041666666666666664,1.0,0.08333333333333393,-0.13888888888888884,0.041666666666666664,sma_minus_point
42,switch_d4,regime_marginal,observed,-0.25,-0.29166666666666674,0.08333333333333333,2.6793478260869565,3.291666666666667,-0.13888888888888884,0.041666666666666664,sma_minus_point
43,steady_k2,regime_conditional,clean,-0.0625,-0.0625,0.0,2.0,0.41666666666666785,-0.02777777777777779,0.0,sma_minus_point
43,steady_k2,regime_conditional,observed,0.08333333333333337,0.0625,0.0,2.9963369963369964,1.9166666666666665,-0.02777777777777779,0.0,sma_minus_point
43,steady_k2,regime_marginal,clean,-0.08333333333333334,-0.08333333333333334,0.0,2.166666666666667,0.35416666666666785,-0.02777777777777779,0.0,sma_minus_point
43,steady_k2,regime_marginal,observed,-0.10416666666666663,-0.125,0.020833333333333332,3.9487179487179485,3.166666666666667,-0.02777777777777779,0.0,sma_minus_point
43,steady_m05,regime_conditional,clean,-0.125,-0.125,0.0,,0.75,-0.02777777777777779,0.0,sma_minus_point
43,steady_m05,regime_conditional,observed,-0.125,-0.125,0.0,2.3,1.041666666666667,-0.02777777777777779,0.0,sma_minus_point
43,steady_m05,regime_marginal,clean,-0.16666666666666669,-0.16666666666666669,0.0,4.2,0.625,-0.02777777777777779,0.0,sma_minus_point
43,steady_m05,regime_marginal,observed,-0.08333333333333334,-0.08333333333333334,0.0,4.333333333333334,0.375,-0.02777777777777779,0.0,sma_minus_point
43,steady_m1,regime_conditional,clean,-0.125,-0.125,0.0,,0.75,-0.02777777777777779,0.0,sma_minus_point
43,steady_m1,regime_conditional,observed,0.041666666666666685,0.041666666666666685,0.0,2.340909090909091,0.583333333333333,-0.02777777777777779,0.0,sma_minus_point
43,steady_m1,regime_marginal,clean,-0.16666666666666669,-0.16666666666666669,0.0,4.2,0.625,-0.02777777777777779,0.0,sma_minus_point
43,steady_m1,regime_marginal,observed,-0.20833333333333331,-0.20833333333333331,0.0,3.208333333333333,1.4999999999999991,-0.02777777777777779,0.0,sma_minus_point
43,steady_m2_r10_k1,regime_conditional,clean,-0.125,-0.125,0.0,,0.75,-0.02777777777777779,0.0,sma_minus_point
43,steady_m2_r10_k1,regime_conditional,observed,0.04166666666666663,0.04166666666666663,0.0,1.8442028985507248,1.6666666666666667,-0.02777777777777779,0.0,sma_minus_point
43,steady_m2_r10_k1,regime_marginal,clean,-0.16666666666666669,-0.16666666666666669,0.0,4.2,0.625,-0.02777777777777779,0.0,sma_minus_point
43,steady_m2_r10_k1,regime_marginal,observed,-0.125,-0.125,0.0,3.963815789473684,3.2083333333333335,-0.02777777777777779,0.0,sma_minus_point
43,steady_m4,regime_conditional,clean,-0.125,-0.125,0.0,,0.75,-0.02777777777777779,0.0,sma_minus_point
43,steady_m4,regime_conditional,observed,0.0,0.0,0.0,1.608695652173913,1.5416666666666667,-0.02777777777777779,0.0,sma_minus_point
43,steady_m4,regime_marginal,clean,-0.16666666666666669,-0.16666666666666669,0.0,4.2,0.625,-0.02777777777777779,0.0,sma_minus_point
43,steady_m4,regime_marginal,observed,0.0,0.0,0.0,2.9166666666666665,2.9166666666666665,-0.02777777777777779,0.0,sma_minus_point
43,steady_r02,regime_conditional,clean,0.0,0.0,0.0,,0.0,-0.08333333333333337,0.08333333333333333,sma_minus_point
43,steady_r02,regime_conditional,observed,-0.33333333333333337,-0.33333333333333337,0.0,0.9333333333333336,1.3333333333333333,-0.08333333333333337,0.08333333333333333,sma_minus_point
43,steady_r02,regime_marginal,clean,0.0,0.0,0.0,,0.0,-0.08333333333333337,0.08333333333333333,sma_minus_point
43,steady_r02,regime_marginal,observed,-0.5833333333333334,-0.5833333333333334,0.0,1.6666666666666667,1.8333333333333335,-0.08333333333333337,0.08333333333333333,sma_minus_point
43,steady_r20,regime_conditional,clean,-0.1388888888888889,-0.1388888888888889,-0.027777777777777776,1.0,1.0,-0.05555555555555558,0.0,sma_minus_point
43,steady_r20,regime_conditional,observed,0.0,0.0,0.0,1.861111111111111,1.861111111111111,-0.05555555555555558,0.0,sma_minus_point
43,steady_r20,regime_marginal,clean,-0.16666666666666669,-0.16666666666666669,-0.027777777777777776,0.0,1.0,-0.05555555555555558,0.0,sma_minus_point
43,steady_r20,regime_marginal,observed,0.0,0.0,-0.027777777777777776,3.363636363636364,3.083333333333333,-0.05555555555555558,0.0,sma_minus_point
43,switch_d0,regime_conditional,clean,-0.08333333333333334,-0.125,0.041666666666666664,,0.75,-0.1527777777777778,0.041666666666666664,sma_minus_point
43,switch_d0,regime_conditional,observed,0.0,0.0,0.041666666666666664,2.5217391304347823,2.1666666666666665,-0.1527777777777778,0.041666666666666664,sma_minus_point
43,switch_d0,regime_marginal,clean,-0.125,-0.125,0.0,5.25,0.625,-0.1527777777777778,0.041666666666666664,sma_minus_point
43,switch_d0,regime_marginal,observed,-0.125,-0.125,0.0,4.0,3.083333333333333,-0.1527777777777778,0.041666666666666664,sma_minus_point
43,switch_d12,regime_conditional,clean,-0.04166666666666666,-0.08333333333333334,0.125,0.0,0.625,-0.18055555555555547,0.125,sma_minus_point
43,switch_d12,regime_conditional,observed,-0.08333333333333326,-0.08333333333333326,0.125,2.2,1.958333333333333,-0.18055555555555547,0.125,sma_minus_point
43,switch_d12,regime_marginal,clean,-0.04166666666666667,-0.04166666666666667,0.08333333333333333,1.0,0.3333333333333339,-0.18055555555555547,0.125,sma_minus_point
43,switch_d12,regime_marginal,observed,-0.125,-0.125,0.08333333333333333,3.4046052631578947,2.8750000000000004,-0.18055555555555547,0.125,sma_minus_point
43,switch_d4,regime_conditional,clean,-0.04166666666666666,-0.08333333333333334,0.041666666666666664,0.0,0.625,-0.125,0.0,sma_minus_point
43,switch_d4,regime_conditional,observed,-0.04166666666666674,-0.04166666666666674,0.041666666666666664,1.7094861660079053,2.0000000000000004,-0.125,0.0,sma_minus_point
