seed,scenario,method,temporal,view,regime,window,support,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,selected_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m05,regime_marginal,point,clean,transit_rough,stable,common,2064,0,0,11,0,2053,0.0,,0.0,0.005329457364341085,,,0,,0,0.015988372093023256,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,90,0.011111111111111112,5.329457364341085
42,steady_m05,regime_marginal,ewma,clean,all,all,own,6480,0,0,55,0,6425,0.0,,0.0,0.008487654320987654,,,0,,0,0.019444444444444445,1.0,1.0,,,,6480,1.0,0.9555555555555556,,0.0,,270,0.0,2.932098765432099
42,steady_m05,regime_marginal,ewma,clean,all,all,common,6192,0,0,55,0,6137,0.0,,0.0,0.008882428940568475,,,0,,0,0.020348837209302327,1.0,1.0,,,,6480,1.0,0.9555555555555556,,0.0,,268,0.0,3.0684754521963824
42,steady_m05,regime_marginal,ewma,clean,all,stable,own,6480,0,0,55,0,6425,0.0,,0.0,0.008487654320987654,,,0,,0,0.019444444444444445,1.0,1.0,,,,6480,1.0,0.9555555555555556,,0.0,,270,0.0,2.932098765432099
42,steady_m05,regime_marginal,ewma,clean,all,stable,common,6192,0,0,55,0,6137,0.0,,0.0,0.008882428940568475,,,0,,0,0.020348837209302327,1.0,1.0,,,,6480,1.0,0.9555555555555556,,0.0,,268,0.0,3.0684754521963824
42,steady_m05,regime_marginal,ewma,clean,warehouse,all,own,2160,0,0,50,0,2110,0.0,,0.0,0.023148148148148147,,,0,,0,0.05138888888888889,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,96,0.0,6.481481481481482
42,steady_m05,regime_marginal,ewma,clean,warehouse,all,common,2064,0,0,50,0,2014,0.0,,0.0,0.02422480620155039,,,0,,0,0.05377906976744186,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,94,0.0,6.782945736434108
42,steady_m05,regime_marginal,ewma,clean,warehouse,stable,own,2160,0,0,50,0,2110,0.0,,0.0,0.023148148148148147,,,0,,0,0.05138888888888889,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,96,0.0,6.481481481481482
42,steady_m05,regime_marginal,ewma,clean,warehouse,stable,common,2064,0,0,50,0,2014,0.0,,0.0,0.02422480620155039,,,0,,0,0.05377906976744186,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,94,0.0,6.782945736434108
42,steady_m05,regime_marginal,ewma,clean,transit_smooth,all,own,2160,0,0,3,0,2157,0.0,,0.0,0.001388888888888889,,,0,,0,0.004166666666666667,1.0,1.0,,,,2160,1.0,0.9555555555555556,,0.0,,84,0.0,1.3888888888888888
