scenario,method,view,regime,window,support,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
switch_d12,regime_conditional,observed,transit_rough,all,common,sma_minus_point,0.025394136432642756,0.04912256856818638,5,0.2144516394285127,0.08111740279365842,5,0.0003069860084620485,0.0414818021277545,5,0.0016085763904191614,0.02138257944752922,5,0.03667958032316811,0.022218373371937532,5,0.10137938123137014,0.049494892829316905,5,-0.02541885085825879,0.11091171757348697,5,0.0,0.0,5,0.2144516394285127,0.08111740279365842,5,0.05149347312159523,0.12109197440238367,5,0.0,0.0,5,0.2798969646338067,0.13749798842314206,5,-11.101175725955532,4.397119076649551,5,-0.1333333333333333,0.0,5,0.0,0.0,5,0.18323586744639378,0.0761973505790777,5,0.01921713684392814,0.050026502829376485,5,0.06471734892787524,0.08914159898340929,5
switch_d12,regime_conditional,observed,transit_rough,all,own,sma_minus_ewma,-0.03996537092241898,0.01817865716745739,5,-0.10380194498992883,0.05747083312702194,5,-0.025299897485053468,0.011820001518653936,5,-0.02356740203356419,0.012651286524464803,5,0.012673477351748919,0.004428927848671675,5,-0.0022232590933598862,0.023446654906896004,5,-0.040778086134237834,0.04180204546879088,5,2.2204460492503132e-17,8.41868291085074e-17,5,-0.10380194498992883,0.05747083312702194,5,-0.10005952541957217,0.09412433713508313,5,-0.1333333333333333,0.0,5,0.08427318295739347,0.08639178541421988,5,-0.23495580721006953,2.5056498640687894,5,-0.1333333333333333,0.0,5,0.0,0.0,5,-0.14518518518518517,0.06058414774077457,5,-0.043675649645710614,0.02010657565569332,5,0.06471734892787524,0.08914159898340929,5
switch_d12,regime_conditional,observed,transit_rough,all,own,sma_minus_point,0.02292741556721977,0.048687841757198404,5,0.2246191076416501,0.0805417506853454,5,-0.00443171309584491,0.04405329515285631,5,0.0007646571384780032,0.016272081651837324,5,0.046093125942038,0.02271571239585794,5,0.10626601965907678,0.055020801514296114,5,-0.021265415568935686,0.09664659910366531,5,2.2204460492503132e-17,8.41868291085074e-17,5,0.2246191076416501,0.0805417506853454,5,0.06128550382019393,0.11290718151456623,5,-0.1333333333333333,0.0,5,0.2851726538568644,0.12954091687020866,5,-8.852287559619992,4.843342588039746,5,-0.1333333333333333,0.0,5,0.0,0.0,5,0.18323586744639378,0.0761973505790777,5,0.01921713684392814,0.050026502829376485,5,0.06471734892787524,0.08914159898340929,5
switch_d12,regime_conditional,observed,transit_rough,stable,common,sma_minus_ewma,-0.12382833449377025,0.06936665201136082,5,-0.14064327485380115,0.08126676049662337,5,-0.11096307856798004,0.06840220069548567,5,-0.17914861369797458,0.033165678953095544,5,0.007332162973681893,0.0039676426564919185,5,0.003245614035087714,0.03406062525372471,5,-0.0548245614035088,0.04685780851034312,5,0.0,0.0,5,-0.14064327485380115,0.08126676049662337,5,-0.13769005847953214,0.09975745182503401,5,0.0,0.0,5,0.12476190476190477,0.03605394044088929,5,-0.9161598288456112,2.4786872203642156,5,-0.15384615384615385,0.0,5,0.0,0.0,5,-0.15222222222222218,0.0718781869932186,5,-0.12361165176716511,0.06378375322209619,5,0.075,0.10374916331657277,5
switch_d12,regime_conditional,observed,transit_rough,stable,common,sma_minus_point,0.072151572568117,0.17763161214248924,5,0.2671637426900585,0.08662608254966223,5,-0.07498565162671934,0.2833668459274141,5,0.07470333318044028,0.24043196531681638,5,0.026100367114967958,0.028573578811380784,5,0.11558479532163743,0.0776138768211553,5,-0.0262280701754386,0.12895870579112859,5,0.0,0.0,5,0.2671637426900585,0.08662608254966223,5,0.061403508771929835,0.14255263130905846,5,0.0,0.0,5,0.2768253968253968,0.13683446550435102,5,-3.8609911731309823,6.641048110547043,5,-0.15384615384615385,0.0,5,0.0,0.0,5,0.2261111111111111,0.08001735922771869,5,0.07837687547091496,0.18619396470908844,5,0.075,0.10374916331657277,5
switch_d12,regime_conditional,observed,transit_rough,stable,own,sma_minus_ewma,-0.11275993521800158,0.06782194103201905,5,-0.10125730994152042,0.07772022504606708,5,-0.10805023475357038,0.06742348000362859,5,-0.15553728773329897,0.03618935442860947,5,0.010035711044916382,0.005040530755297938,5,0.004320175438596486,0.03399667471925394,5,-0.0361622807017544,0.034267310860123724,5,-1.1102230246251566e-17,2.4825341532472732e-17,5,-0.10125730994152042,0.07772022504606708,5,-0.11644005847953216,0.11246131335548916,5,-0.15384615384615385,0.0,5,0.1387784679089027,0.047330829541907024,5,-0.2768836566030165,1.7259187509223948,5,-0.15384615384615385,0.0,5,0.0,0.0,5,-0.15222222222222218,0.0718781869932186,5,-0.12361165176716511,0.06378375322209619,5,0.075,0.10374916331657277,5
switch_d12,regime_conditional,observed,transit_rough,stable,own,sma_minus_point,0.08922859202007849,0.1769679404096876,5,0.2770760233918129,0.0866598207248314,5,-0.053971148791694915,0.2967961431332296,5,0.09939886109059368,0.22914490084111083,5,0.026075170419883158,0.029243850355491974,5,0.11438961988304094,0.07627835272561516,5,-0.013662280701754393,0.1046300749381532,5,-1.1102230246251566e-17,2.4825341532472732e-17,5,0.2770760233918129,0.0866598207248314,5,0.07508771929824562,0.1312597187478858,5,-0.15384615384615385,0.0,5,0.27855699855699856,0.1283350574679352,5,-3.8377397825426938,7.082661598778866,5,-0.15384615384615385,0.0,5,0.0,0.0,5,0.2261111111111111,0.08001735922771869,5,0.07837687547091496,0.18619396470908844,5,0.075,0.10374916331657277,5
switch_d12,regime_conditional,observed,transit_rough,transition,common,sma_minus_ewma,-0.005864517308312059,0.009489623194322911,5,-0.125,0.14610864664869908,4,-0.0028090202832549024,0.005004981127772223,5,-0.0032875709416440337,0.002707798646381581,4,-0.05200650118203307,0.023075751622107052,5,-0.06249999999999999,0.04743958687944257,4,-0.027777777777777776,0.05555555555555555,4,0.0,0.0,4,-0.125,0.14610864664869908,4,0.013888888888888895,0.02777777777777779,4,0.0,0.0,5,-0.08333333333333336,0.22047927592204922,5,-9.520291568163907,10.059650533276123,5,0.0,0.0,5,0.0,0.0,5,-0.125,0.14610864664869908,4,-0.005864517308312059,0.009489623194322911,5,0.0,0.0,4
switch_d12,regime_conditional,observed,transit_rough,transition,common,sma_minus_point,-0.02214773157071561,0.03323072676211117,5,-0.09722222222222221,0.11453071182271278,4,-0.012917196451944035,0.019618508127284003,5,-0.004389073496039853,0.0031092108041440394,4,0.09461485421591806,0.022801349098741538,5,0.03472222222222224,0.15277777777777776,4,-0.013888888888888895,0.02777777777777779,4,0.0,0.0,4,-0.09722222222222221,0.11453071182271278,4,-0.013888888888888867,0.027777777777777735,4,0.0,0.0,5,0.25666666666666665,0.2613001679635469,5,-50.9692671394799,15.74195132883753,5,0.0,0.0,5,0.0,0.0,5,-0.09722222222222221,0.11453071182271278,4,-0.02214773157071561,0.03323072676211117,5,0.0,0.0,4
switch_d12,regime_conditional,observed,transit_rough,transition,own,sma_minus_ewma,-0.005864517308312059,0.009489623194322911,5,-0.125,0.14610864664869908,4,-0.0028090202832549024,0.005004981127772223,5,-0.0032875709416440337,0.002707798646381581,4,-0.05200650118203307,0.023075751622107052,5,-0.06249999999999999,0.04743958687944257,4,-0.027777777777777776,0.05555555555555555,4,0.0,0.0,4,-0.125,0.14610864664869908,4,0.013888888888888895,0.02777777777777779,4,0.0,0.0,5,-0.08333333333333336,0.22047927592204922,5,-9.520291568163907,10.059650533276123,5,0.0,0.0,5,0.0,0.0,5,-0.125,0.14610864664869908,4,-0.005864517308312059,0.009489623194322911,5,0.0,0.0,4
