seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,event_channel_count
42,steady_r02,regime_marginal,ewma,observed,0.4166666666666667,0.3333333333333333,0.16666666666666666,2.25,3.4166666666666665,1.0,0.0,12
42,steady_r02,regime_marginal,point,clean,0.0,0.0,0.08333333333333333,,4.0,1.0,0.0,12
42,steady_r02,regime_marginal,point,observed,0.5833333333333334,0.5833333333333334,0.08333333333333333,1.0,2.25,1.0,0.0,12
42,steady_r02,regime_marginal,sma,clean,0.08333333333333333,0.0,0.08333333333333333,,4.0,0.9166666666666666,0.08333333333333333,12
42,steady_r02,regime_marginal,sma,observed,0.16666666666666666,0.16666666666666666,0.08333333333333333,1.5,3.5833333333333335,0.9166666666666666,0.08333333333333333,12
42,steady_r20,regime_conditional,ewma,clean,0.027777777777777776,0.027777777777777776,0.027777777777777776,9.0,11.916666666666666,1.0,0.0,36
42,steady_r20,regime_conditional,ewma,observed,1.0,0.9166666666666666,0.1111111111111111,2.4242424242424243,3.2222222222222223,1.0,0.0,36
42,steady_r20,regime_conditional,point,clean,0.1111111111111111,0.1111111111111111,0.027777777777777776,7.5,11.5,1.0,0.0,36
42,steady_r20,regime_conditional,point,observed,0.9722222222222222,0.9722222222222222,0.027777777777777776,1.2285714285714286,1.5277777777777777,1.0,0.0,36
42,steady_r20,regime_conditional,sma,clean,0.0,0.0,0.0,,12.0,0.9444444444444444,0.0,36
42,steady_r20,regime_conditional,sma,observed,1.0,0.9444444444444444,0.08333333333333333,3.9411764705882355,4.388888888888889,0.9444444444444444,0.0,36
42,steady_r20,regime_marginal,ewma,clean,0.05555555555555555,0.027777777777777776,0.05555555555555555,7.0,11.86111111111111,1.0,0.0,36
42,steady_r20,regime_marginal,ewma,observed,0.9166666666666666,0.8888888888888888,0.08333333333333333,4.125,5.0,1.0,0.0,36
42,steady_r20,regime_marginal,point,clean,0.05555555555555555,0.05555555555555555,0.027777777777777776,8.0,11.777777777777779,1.0,0.0,36
42,steady_r20,regime_marginal,point,observed,0.9722222222222222,0.9722222222222222,0.027777777777777776,2.914285714285714,3.1666666666666665,1.0,0.0,36
42,steady_r20,regime_marginal,sma,clean,0.05555555555555555,0.027777777777777776,0.027777777777777776,9.0,11.916666666666666,0.9444444444444444,0.0,36
42,steady_r20,regime_marginal,sma,observed,0.9444444444444444,0.9166666666666666,0.08333333333333333,5.575757575757576,6.111111111111111,0.9444444444444444,0.0,36
42,switch_d0,regime_conditional,ewma,clean,0.0,0.0,0.041666666666666664,,9.0,1.0,0.0,24
42,switch_d0,regime_conditional,ewma,observed,0.9583333333333334,0.9166666666666666,0.08333333333333333,2.5,3.0416666666666665,1.0,0.0,24
42,switch_d0,regime_conditional,point,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,9.0,8.75,1.0,0.0,24
42,switch_d0,regime_conditional,point,observed,0.9583333333333334,0.9583333333333334,0.041666666666666664,1.7391304347826086,2.1666666666666665,1.0,0.0,24
42,switch_d0,regime_conditional,sma,clean,0.0,0.0,0.0,,9.0,0.8333333333333334,0.08333333333333333,24
42,switch_d0,regime_conditional,sma,observed,0.8333333333333334,0.7916666666666666,0.041666666666666664,4.0,4.416666666666667,0.8333333333333334,0.08333333333333333,24
42,switch_d0,regime_marginal,ewma,clean,0.041666666666666664,0.0,0.041666666666666664,,9.0,1.0,0.0,24
42,switch_d0,regime_marginal,ewma,observed,0.75,0.75,0.08333333333333333,3.7222222222222223,4.291666666666667,1.0,0.0,24
42,switch_d0,regime_marginal,point,clean,0.0,0.0,0.0,,9.0,1.0,0.0,24
42,switch_d0,regime_marginal,point,observed,0.9166666666666666,0.9166666666666666,0.0,1.8636363636363635,2.4583333333333335,1.0,0.0,24
42,switch_d0,regime_marginal,sma,clean,0.041666666666666664,0.0,0.041666666666666664,,9.0,0.8333333333333334,0.08333333333333333,24
42,switch_d0,regime_marginal,sma,observed,0.7083333333333334,0.6666666666666666,0.08333333333333333,5.25,5.5,0.8333333333333334,0.08333333333333333,24
42,switch_d12,regime_conditional,ewma,clean,0.125,0.125,0.08333333333333333,1.6666666666666667,7.958333333333333,1.0,0.0,24
42,switch_d12,regime_conditional,ewma,observed,0.9583333333333334,0.9166666666666666,0.125,2.227272727272727,2.7916666666666665,1.0,0.0,24
42,switch_d12,regime_conditional,point,clean,0.16666666666666666,0.16666666666666666,0.08333333333333333,3.0,7.75,1.0,0.0,24
42,switch_d12,regime_conditional,point,observed,1.0,1.0,0.08333333333333333,1.4166666666666667,1.4166666666666667,1.0,0.0,24
42,switch_d12,regime_conditional,sma,clean,0.125,0.125,0.041666666666666664,2.3333333333333335,8.041666666666666,0.8888888888888888,0.08333333333333333,24
42,switch_d12,regime_conditional,sma,observed,0.8333333333333334,0.7916666666666666,0.08333333333333333,3.210526315789474,3.7916666666666665,0.8888888888888888,0.08333333333333333,24
42,switch_d12,regime_marginal,ewma,clean,0.125,0.08333333333333333,0.041666666666666664,0.0,8.25,1.0,0.0,24
42,switch_d12,regime_marginal,ewma,observed,0.7916666666666666,0.7916666666666666,0.08333333333333333,3.3684210526315788,4.166666666666667,1.0,0.0,24
42,switch_d12,regime_marginal,point,clean,0.08333333333333333,0.08333333333333333,0.0,0.0,8.25,1.0,0.0,24
42,switch_d12,regime_marginal,point,observed,0.9166666666666666,0.9166666666666666,0.0,1.5454545454545454,2.1666666666666665,1.0,0.0,24
42,switch_d12,regime_marginal,sma,clean,0.125,0.08333333333333333,0.041666666666666664,1.0,8.333333333333334,0.8888888888888888,0.08333333333333333,24
42,switch_d12,regime_marginal,sma,observed,0.7083333333333334,0.6666666666666666,0.08333333333333333,4.375,5.166666666666667,0.8888888888888888,0.08333333333333333,24
42,switch_d4,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.0,8.25,1.0,0.0,24
42,switch_d4,regime_conditional,ewma,observed,0.9583333333333334,0.9166666666666666,0.08333333333333333,2.227272727272727,2.7916666666666665,1.0,0.0,24
