scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count
steady_m05,regime_conditional,observed,sma_minus_ewma,-0.05,0.045643546458763846,5,-0.04166666666666667,0.05103103630798288,5,0.0,0.02946278254943948,5,0.8999999999999997,2.362584507600851,5,0.21666666666666715,0.476350419567593,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_conditional,observed,sma_minus_point,0.0,0.07795119555779045,5,0.0,0.07795119555779045,5,-0.008333333333333333,0.03486083443891981,5,1.2466666666666666,3.16375743556789,5,0.15,0.7111463749936904,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_marginal,clean,sma_minus_ewma,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,2.0,,1,0.1,0.18066236157232304,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_marginal,clean,sma_minus_point,-0.058333333333333334,0.08640183897219884,5,-0.06666666666666668,0.0756912588524373,5,-0.008333333333333333,0.018633899812498245,5,4.2,,1,0.31666666666666676,0.3870741387497866,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_marginal,observed,sma_minus_ewma,-0.025,0.02282177322938192,5,-0.016666666666666666,0.02282177322938192,5,-0.008333333333333333,0.018633899812498245,5,1.6666666666666667,2.8867513459481287,3,0.058333333333333216,0.08640183897219915,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m05,regime_marginal,observed,sma_minus_point,-0.05,0.03486083443891982,5,-0.05,0.03486083443891982,5,-0.008333333333333333,0.018633899812498245,5,1.277777777777778,2.657971936423486,3,0.21666666666666679,0.15422296269434801,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_conditional,clean,sma_minus_ewma,-0.041666666666666664,0.05892556509887897,5,-0.041666666666666664,0.05892556509887897,5,0.0,0.02946278254943948,5,0.25,0.3535533905932738,2,0.19166666666666643,0.25103950552320103,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_conditional,clean,sma_minus_point,-0.075,0.03486083443891981,5,-0.075,0.03486083443891981,5,-0.016666666666666666,0.02282177322938192,5,1.6666666666666667,0.47140452079103157,2,0.31666666666666643,0.24755751295854928,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_conditional,observed,sma_minus_ewma,-0.05833333333333335,0.06972166887783965,5,-0.06666666666666668,0.06319062870042957,5,0.0,0.02946278254943948,5,0.793162393162393,0.6459848216845008,5,0.5333333333333334,0.24544460791705222,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_conditional,observed,sma_minus_point,0.041666666666666664,0.1062295731998497,5,0.016666666666666653,0.1200405024240661,5,0.008333333333333333,0.04564354645876384,5,1.516206016206016,1.027908931316488,5,0.325,0.5371607456494438,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_marginal,clean,sma_minus_ewma,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,2.0,,1,0.1,0.18066236157232304,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_marginal,clean,sma_minus_point,-0.058333333333333334,0.08640183897219884,5,-0.06666666666666668,0.0756912588524373,5,-0.008333333333333333,0.018633899812498245,5,4.2,,1,0.31666666666666676,0.3870741387497866,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_marginal,observed,sma_minus_ewma,-0.008333333333333328,0.034860834438919804,5,-2.7755575615628915e-18,0.02946278254943948,5,-0.008333333333333333,0.018633899812498245,5,1.4952380952380953,1.7406536942903694,5,0.15833333333333321,0.12289901003127152,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m1,regime_marginal,observed,sma_minus_point,-0.1,0.08122328620674137,5,-0.1,0.08122328620674137,5,0.0,0.02946278254943948,5,2.805952380952381,0.9083341134615632,5,0.7749999999999998,0.5516704430887862,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_conditional,clean,sma_minus_ewma,-0.041666666666666664,0.05892556509887897,5,-0.041666666666666664,0.05892556509887897,5,0.0,0.02946278254943948,5,0.25,0.3535533905932738,2,0.19166666666666643,0.25103950552320103,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
