seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,event_channel_count
43,duration24,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,22.583333333333332,1.0,0.0,0.9409722222222222,24
43,duration24,regime_conditional,ewma,observed,0.9583333333333334,0.9583333333333334,0.0,6.217391304347826,6.958333333333333,1.0,0.0,0.2899305555555555,24
43,duration24,regime_conditional,point,clean,0.25,0.25,0.0,8.166666666666666,20.041666666666668,1.0,0.0,0.8350694444444445,24
43,duration24,regime_conditional,point,observed,0.9583333333333334,0.9583333333333334,0.0,7.0,7.708333333333333,1.0,0.0,0.3211805555555555,24
43,duration24,regime_marginal,carry,clean,0.125,0.125,0.0,7.666666666666667,21.958333333333332,1.0,0.0,0.9149305555555555,24
43,duration24,regime_marginal,carry,observed,0.5833333333333334,0.5833333333333334,0.0,9.214285714285714,15.375,1.0,0.0,0.640625,24
43,duration24,regime_marginal,cusum,clean,0.041666666666666664,0.0,0.041666666666666664,,24.0,1.0,0.0,1.0,24
43,duration24,regime_marginal,cusum,observed,0.4583333333333333,0.4166666666666667,0.041666666666666664,12.1,19.041666666666668,1.0,0.0,0.7934027777777778,24
43,duration24,regime_marginal,ewma,clean,0.125,0.125,0.0,7.666666666666667,21.958333333333332,1.0,0.0,0.9149305555555555,24
43,duration24,regime_marginal,ewma,observed,0.5833333333333334,0.5833333333333334,0.0,9.214285714285714,15.375,1.0,0.0,0.640625,24
43,duration24,regime_marginal,point,clean,0.25,0.25,0.0,8.5,20.125,1.0,0.0,0.8385416666666666,24
43,duration24,regime_marginal,point,observed,0.6666666666666666,0.6666666666666666,0.0,6.3125,12.208333333333334,1.0,0.0,0.5086805555555556,24
43,duration4,regime_conditional,carry,clean,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,24
43,duration4,regime_conditional,carry,observed,0.16666666666666666,0.16666666666666666,0.0,2.0,3.6666666666666665,1.0,0.0,0.9166666666666666,24
43,duration4,regime_conditional,cusum,clean,0.041666666666666664,0.041666666666666664,0.041666666666666664,1.0,3.875,1.0,0.0,0.96875,24
43,duration4,regime_conditional,cusum,observed,0.16666666666666666,0.125,0.041666666666666664,2.0,3.75,1.0,0.0,0.9375,24
43,duration4,regime_conditional,ewma,clean,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,24
