seed,scenario,method,temporal,view,event_index,sequence_index,channel,start,end_exclusive,duration,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped
42,steady_d12_n2_m1,regime_conditional,point,clean,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,point,clean,21,10,1,14,26,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,point,clean,22,11,1,1,13,12,True,True,False,3.0,3,1.0,False,0.25
42,steady_d12_n2_m1,regime_conditional,point,clean,23,11,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,1,0,2,1,13,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_conditional,ewma,clean,2,1,1,0,12,12,True,True,False,10.0,10,1.0,False,0.8333333333333334
42,steady_d12_n2_m1,regime_conditional,ewma,clean,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,4,2,0,104,116,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,6,3,2,142,154,12,True,True,False,7.0,7,1.0,False,0.5833333333333334
42,steady_d12_n2_m1,regime_conditional,ewma,clean,7,3,2,88,100,12,True,True,False,3.0,3,1.0,False,0.25
42,steady_d12_n2_m1,regime_conditional,ewma,clean,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,9,4,1,39,51,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,ewma,clean,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
