seed,scenario,method,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,comparison
43,magnitude4,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,magnitude4,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,steady_d12_n2_m1,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,steady_d12_n2_m1,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,steady_d12_n2_m1,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,steady_d12_n2_m1,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_after6,regime_conditional,clean,-0.041666666666666664,-0.041666666666666664,0.0,-0.5,0.16666666666666607,0.0,0.0,0.01388888888888884,carry_minus_ewma
43,switch_after6,regime_conditional,observed,0.04166666666666663,0.04166666666666663,0.0,-0.2666666666666666,-0.5416666666666661,0.0,0.0,-0.04513888888888884,carry_minus_ewma
43,switch_after6,regime_marginal,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_after6,regime_marginal,observed,-0.04166666666666663,-0.04166666666666663,0.0,-0.4047619047619042,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_at,regime_conditional,clean,0.041666666666666664,0.0,0.0,,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_at,regime_conditional,observed,0.0,0.0,0.0,0.2608695652173916,0.25,0.0,0.0,0.020833333333333315,carry_minus_ewma
43,switch_at,regime_marginal,clean,0.041666666666666664,0.0,0.0,-5.0,-0.20833333333333215,0.0,0.0,-0.01736111111111105,carry_minus_ewma
43,switch_at,regime_marginal,observed,0.0,-0.04166666666666663,0.0,-0.4454545454545462,0.041666666666666075,0.0,0.0,0.00347222222222221,carry_minus_ewma
43,switch_before6,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_before6,regime_conditional,observed,0.16666666666666663,0.16666666666666663,0.0,0.6010101010101012,-0.708333333333333,0.0,0.0,-0.05902777777777779,carry_minus_ewma
43,switch_before6,regime_marginal,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,-0.16666666666666785,0.0,0.0,-0.01388888888888895,carry_minus_ewma
43,switch_before6,regime_marginal,observed,0.16666666666666669,0.16666666666666669,0.0,0.6969696969696964,-0.625,0.0,0.0,-0.05208333333333337,carry_minus_ewma
43,switch_delay12,regime_conditional,clean,0.125,0.08333333333333334,0.125,0.628571428571429,-0.5,0.0,0.0,-0.04166666666666663,carry_minus_ewma
43,switch_delay12,regime_conditional,observed,0.04166666666666663,-0.125,0.125,-0.6184210526315788,0.41666666666666696,0.0,0.0,0.03472222222222221,carry_minus_ewma
43,switch_delay12,regime_marginal,clean,0.20833333333333334,0.04166666666666667,0.16666666666666669,2.0,-0.041666666666666075,0.0,0.0,-0.00347222222222221,carry_minus_ewma
43,switch_delay12,regime_marginal,observed,0.0,-0.125,0.16666666666666669,-0.7999999999999998,0.4166666666666661,0.0,0.0,0.0347222222222221,carry_minus_ewma
43,switch_random,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
43,switch_random,regime_conditional,observed,0.0,0.0,0.0,-0.39999999999999947,-0.33333333333333304,0.0,0.0,-0.02777777777777779,carry_minus_ewma
43,switch_random,regime_marginal,clean,0.0,0.0,0.0,-2.5,-0.20833333333333393,0.0,0.0,-0.01736111111111116,carry_minus_ewma
43,switch_random,regime_marginal,observed,0.0,0.0,0.0,-0.18181818181818166,-0.08333333333333215,0.0,0.0,-0.006944444444444309,carry_minus_ewma
44,count1,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count1,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count1,regime_marginal,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count1,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count3,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count3,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count3,regime_marginal,clean,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,carry_minus_ewma
44,count3,regime_marginal,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,duration24,regime_conditional,clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
44,duration24,regime_conditional,observed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,carry_minus_ewma
