scenario,method,temporal,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,carry,observed,warehouse,record_stable,0.26898831112276994,0.16385694746962118,5,0.2833333333333333,0.15907174307350894,5,0.2618809749019121,0.17538613877873832,5,0.24111559399827964,0.1631936401179479,5,0.01960227272727273,0.007905921009371895,5,0.07708333333333332,0.054922609693600286,5,0.6083333333333333,0.15825107512360786,5,0.3333333333333333,0.0,5,0.2833333333333333,0.15907174307350894,5,0.25416666666666665,0.18481879263514064,5,1.0,0.0,5,0.1,0.08254838648399562,5,8.143939393939394,3.420907550793266,5,1.0,0.0,5,1.0,0.0,5,0.2833333333333333,0.15907174307350894,5,0.26898831112276994,0.16385694746962118,5,0.0,0.0,5
count1,regime_conditional,carry,observed,warehouse,stable,0.26898831112276994,0.16385694746962118,5,0.2833333333333333,0.15907174307350894,5,0.2618809749019121,0.17538613877873832,5,0.24111559399827964,0.1631936401179479,5,0.01960227272727273,0.007905921009371895,5,0.07708333333333332,0.054922609693600286,5,0.6083333333333333,0.15825107512360786,5,0.3333333333333333,0.0,5,0.2833333333333333,0.15907174307350894,5,0.25416666666666665,0.18481879263514064,5,1.0,0.0,5,0.1,0.08254838648399562,5,8.143939393939394,3.420907550793266,5,1.0,0.0,5,1.0,0.0,5,0.2833333333333333,0.15907174307350894,5,0.26898831112276994,0.16385694746962118,5,0.0,0.0,5
count1,regime_conditional,cusum,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.020895061728395063,0.013852232147461086,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.01388888888888889,0.02024636074599063,5,4.969135802469135,1.5175333048073483,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,all,record_stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.020895061728395063,0.013852232147461086,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.01388888888888889,0.02024636074599063,5,4.969135802469135,1.5175333048073483,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.020895061728395063,0.013852232147461086,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.01388888888888889,0.02024636074599063,5,4.969135802469135,1.5175333048073483,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,transit_rough,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.02574074074074074,0.02911996555097527,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.004166666666666667,0.009316949906249122,5,5.185185185185185,4.433338748101523,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,transit_rough,record_stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.02574074074074074,0.02911996555097527,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.004166666666666667,0.009316949906249122,5,5.185185185185185,4.433338748101523,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,transit_rough,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.02574074074074074,0.02911996555097527,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.004166666666666667,0.009316949906249122,5,5.185185185185185,4.433338748101523,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,transit_smooth,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018518518518518517,0.015260231225786583,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0375,0.06319062870042959,5,4.444444444444445,2.8084723866857595,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,transit_smooth,record_stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018518518518518517,0.015260231225786583,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0375,0.06319062870042959,5,4.444444444444445,2.8084723866857595,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
