seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,count3,regime_marginal,clean,all,stable,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.016203703703703703,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_marginal,clean,transit_rough,all,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,count3,regime_marginal,clean,transit_rough,stable,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,count3,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.048611111111111105,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.048611111111111105,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_marginal,observed,all,all,-0.0034278800914101376,0.016203703703703706,-0.16648351648351645,-0.04366649050694785,0.027943121693121693,0.016203703703703706,0.006944444444444531,0.0,0.016203703703703706,0.016203703703703706,0.0,0.0787037037037037,-6.283068783068782,0.0,0.0,0.016203703703703706,-0.0034278800914101376,0.0,cusum_minus_point
42,count3,regime_marginal,observed,all,stable,-0.0034278800914101376,0.016203703703703706,-0.16648351648351645,-0.04366649050694785,0.027943121693121693,0.016203703703703706,0.006944444444444531,0.0,0.016203703703703706,0.016203703703703706,0.0,0.0787037037037037,-6.283068783068782,0.0,0.0,0.016203703703703706,-0.0034278800914101376,0.0,cusum_minus_point
42,count3,regime_marginal,observed,transit_rough,all,-0.05085388994307401,-0.03472222222222222,0.1748251748251748,-0.009069694387181831,-0.00496031746031746,-0.006944444444444444,0.125,0.0,-0.03472222222222222,-0.03472222222222222,0.0,0.027777777777777776,-6.944444444444445,0.0,0.0,-0.03472222222222222,-0.05085388994307401,0.0,cusum_minus_point
42,count3,regime_marginal,observed,transit_rough,stable,-0.05085388994307401,-0.03472222222222222,0.1748251748251748,-0.009069694387181831,-0.00496031746031746,-0.006944444444444444,0.125,0.0,-0.03472222222222222,-0.03472222222222222,0.0,0.027777777777777776,-6.944444444444445,0.0,0.0,-0.03472222222222222,-0.05085388994307401,0.0,cusum_minus_point
42,count3,regime_marginal,observed,transit_smooth,all,-0.05847953216374269,-0.034722222222222224,-0.18518518518518517,-0.06689193952333056,0.0,0.01388888888888889,-0.13194444444444448,0.0,-0.034722222222222224,-0.034722222222222224,0.0,0.006944444444444444,-8.928571428571429,0.0,0.0,-0.034722222222222224,-0.05847953216374269,0.0,cusum_minus_point
42,count3,regime_marginal,observed,transit_smooth,stable,-0.05847953216374269,-0.034722222222222224,-0.18518518518518517,-0.06689193952333056,0.0,0.01388888888888889,-0.13194444444444448,0.0,-0.034722222222222224,-0.034722222222222224,0.0,0.006944444444444444,-8.928571428571429,0.0,0.0,-0.034722222222222224,-0.05847953216374269,0.0,cusum_minus_point
42,count3,regime_marginal,observed,warehouse,all,0.0493800539083558,0.11805555555555555,-0.12007957936620718,-0.011794634645979019,0.08878968253968254,0.041666666666666664,0.02777777777777779,0.0,0.11805555555555555,0.11805555555555555,0.0,0.2013888888888889,-2.9761904761904763,0.0,0.0,0.11805555555555555,0.0493800539083558,0.0,cusum_minus_point
42,count3,regime_marginal,observed,warehouse,stable,0.0493800539083558,0.11805555555555555,-0.12007957936620718,-0.011794634645979019,0.08878968253968254,0.041666666666666664,0.02777777777777779,0.0,0.11805555555555555,0.11805555555555555,0.0,0.2013888888888889,-2.9761904761904763,0.0,0.0,0.11805555555555555,0.0493800539083558,0.0,cusum_minus_point
42,duration24,regime_conditional,clean,all,all,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,0.01388888888888889,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,all,stable,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,0.01388888888888889,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,0.010416666666666666,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,0.010416666666666666,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.0,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.0,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,0.03125,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,0.03125,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_conditional,observed,all,all,0.2548304851095778,0.46701388888888884,-0.09485543384365225,0.10795445886520513,0.09603658536585366,0.04861111111111111,0.19791666666666674,0.0,0.46701388888888884,0.41145833333333337,0.0,0.7847222222222222,-6.605691056910569,0.0,0.0,0.46701388888888884,0.2548304851095778,0.0,cusum_minus_point
