scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
duration24,regime_marginal,point,observed,0.625,0.0931694990624912,5,0.625,0.0931694990624912,5,0.0,0.0,5,7.187896825396825,1.5686521614078581,5,13.458333333333334,1.9871549316100703,5,1.0,0.0,5,0.0,0.0,5,0.560763888888889,0.0827981221504196,5
duration4,regime_conditional,cusum,clean,0.016666666666666666,0.02282177322938192,5,0.008333333333333333,0.018633899812498245,5,0.016666666666666666,0.02282177322938192,5,1.0,,1,3.975,0.055901699437494706,5,1.0,0.0,5,0.0,0.0,5,0.99375,0.013975424859373677,5
duration4,regime_conditional,cusum,observed,0.14166666666666666,0.05590169943749474,5,0.125,0.041666666666666664,5,0.016666666666666666,0.02282177322938192,5,1.95,0.6224949798994366,5,3.7583333333333337,0.06180165405913068,5,1.0,0.0,5,0.0,0.0,5,0.9395833333333334,0.01545041351478267,5
duration4,regime_conditional,ewma,clean,0.024999999999999998,0.03726779962499649,5,0.024999999999999998,0.03726779962499649,5,0.0,0.0,5,2.0,1.4142135623730951,2,3.9416666666666673,0.1086533734200442,5,1.0,0.0,5,0.0,0.0,5,0.9854166666666668,0.02716334335501105,5
duration4,regime_conditional,ewma,observed,0.24166666666666664,0.061801654059130524,5,0.24166666666666664,0.061801654059130524,5,0.0,0.0,5,2.0816666666666666,0.20919820479365717,5,3.5416666666666665,0.09771699499632133,5,1.0,0.0,5,0.0,0.0,5,0.8854166666666666,0.024429248749080333,5
duration4,regime_conditional,point,clean,0.025,0.03726779962499649,5,0.025,0.03726779962499649,5,0.0,0.0,5,1.5,0.7071067811865476,2,3.9416666666666673,0.08122328620674123,5,1.0,0.0,5,0.0,0.0,5,0.9854166666666668,0.020305821551685307,5
duration4,regime_conditional,point,observed,0.25,0.06588078458684124,5,0.25,0.06588078458684124,5,0.0,0.0,5,1.1711904761904761,0.576536200883956,5,3.3083333333333336,0.1682219103182196,5,1.0,0.0,5,0.0,0.0,5,0.8270833333333334,0.0420554775795549,5
duration4,regime_marginal,cusum,clean,0.025,0.02282177322938192,5,0.0,0.0,5,0.025,0.02282177322938192,5,,,0,4.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.0,0.0,5
duration4,regime_marginal,cusum,observed,0.041666666666666664,0.0,5,0.016666666666666666,0.02282177322938192,5,0.025,0.02282177322938192,5,2.0,0.0,2,3.9666666666666663,0.04564354645876399,5,1.0,0.0,5,0.0,0.0,5,0.9916666666666666,0.011410886614690998,5
duration4,regime_marginal,ewma,clean,0.008333333333333333,0.018633899812498245,5,0.008333333333333333,0.018633899812498245,5,0.0,0.0,5,0.0,,1,3.9666666666666663,0.07453559924999291,5,1.0,0.0,5,0.0,0.0,5,0.9916666666666666,0.018633899812498227,5
