method,temporal,view,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
regime_conditional,cusum,observed,count3_minus_steady_d12_n2_m1,0.01867290007940129,0.02180991890012255,5,0.008101851851851832,0.037495355793808006,5,0.023530376002046337,0.010925691158087116,5,0.0218091735365419,0.016059092837547296,5,0.019671311677125634,0.006826457344701858,5,-0.00034722222222221996,0.013526077208876705,5,-0.010185185185185163,0.038987625428550096,5,0.0,0.0,5,0.008101851851851832,0.037495355793808006,5,0.009259259259259267,0.04441338855173586,5,0.0,0.0,5,0.0055555555555555245,0.07679727396023188,5,0.7021348591116032,0.2634822934245136,5,0.0,0.0,5,0.0,0.0,5,0.008101851851851832,0.037495355793808006,5,0.01867290007940129,0.02180991890012255,5,0.0,0.0,5
regime_conditional,cusum,observed,duration24_minus_steady_d12_n2_m1,0.15110914001624237,0.022461376262899742,5,0.24097222222222223,0.042621439380990014,5,0.10459089615670727,0.01609526870635379,5,0.1306395068571432,0.016366614576089726,5,0.06265992311085902,0.0057629590080287415,5,0.04878472222222222,0.013578897359903804,5,0.06875,0.030433983211287662,5,0.0,0.0,5,0.24097222222222223,0.042621439380990014,5,0.18229166666666666,0.059422191285155655,5,0.0,0.0,5,0.3243055555555555,0.044911285151402865,5,0.8965147791012791,1.2342901907997865,5,0.0,0.0,5,0.0,0.0,5,0.24097222222222223,0.042621439380990014,5,0.15110914001624237,0.022461376262899742,5,0.0,0.0,5
regime_conditional,cusum,observed,duration4_minus_steady_d12_n2_m1,-0.1938245814408837,0.04345065590767511,5,-0.24097222222222223,0.05404857140561306,5,-0.1588454282664766,0.03902274128036815,5,-0.12797813760653298,0.030116609557172096,5,-0.032074371976452756,0.0016507053024191927,5,-0.029166666666666667,0.019657194242664114,5,-0.1513888888888889,0.05393692375198236,5,0.0,0.0,5,-0.24097222222222223,0.05404857140561306,5,-0.21666666666666665,0.027185526570921343,5,0.0,0.0,5,-0.375,0.08670132631377622,5,-0.8033650016514156,1.0556024702818352,5,0.0,0.0,5,0.0,0.0,5,-0.24097222222222223,0.05404857140561306,5,-0.1938245814408837,0.04345065590767511,5,0.0,0.0,5
regime_conditional,cusum,observed,magnitude2_minus_steady_d12_n2_m1,0.01992193331459861,0.033818718936637925,5,0.3923611111111111,0.03312288893808839,5,-0.04178982476229468,0.03825110488142389,5,0.004586754380482172,0.02665322503622988,5,0.10901162790697674,0.008144884372690092,5,0.096875,0.015547648039748688,5,0.12152777777777776,0.031346302231367675,5,0.0,0.0,5,0.3923611111111111,0.03312288893808839,5,0.21736111111111106,0.04256836821188031,5,0.0,0.0,5,0.45972222222222225,0.01942583434819356,5,1.6149870801033592,0.9689922480620157,5,0.0,0.0,5,0.0,0.0,5,0.3923611111111111,0.03312288893808839,5,0.01992193331459861,0.033818718936637925,5,0.0,0.0,5
regime_conditional,cusum,observed,magnitude4_minus_steady_d12_n2_m1,-0.061797262439502856,0.049852750004345525,5,0.5958333333333333,0.04023884612727256,5,-0.10331580902165993,0.05096155984069399,5,-0.04610381994372702,0.03923483368035149,5,0.3111111111111111,0.027630583583951866,5,0.3885416666666667,0.03613447427985471,5,0.07916666666666665,0.07379595502732558,5,0.0,0.0,5,0.5958333333333333,0.04023884612727256,5,0.029861111111111106,0.04409858921765702,5,0.0,0.0,5,0.5527777777777778,0.06703277655532441,5,2.5839793281653747,1.3219238972662228,5,0.0,0.0,5,0.0,0.0,5,0.5958333333333333,0.04023884612727256,5,-0.061797262439502856,0.049852750004345525,5,0.0,0.0,5
regime_conditional,cusum,observed,switch_after6_minus_switch_at,0.05157761490575432,0.016814289445660147,5,0.09097222222222222,0.03060680676533196,5,0.02339340209177477,0.007896600202785944,5,0.03179148751662163,0.034701306951262764,5,0.007493540051679587,0.004293557888813272,5,0.0041666666666666675,0.01142408602525146,5,0.01736111111111114,0.037797814335203524,5,0.0,0.0,5,0.09097222222222222,0.03060680676533196,5,0.08680555555555555,0.03312288893808839,5,0.0,0.0,5,0.059027777777777776,0.03625106426705051,5,-0.4844961240310079,1.0651571348734594,5,0.0,0.0,5,0.0,0.0,5,0.09097222222222222,0.03060680676533196,5,0.05157761490575432,0.016814289445660147,5,0.0,0.0,5
regime_conditional,cusum,observed,switch_at_minus_switch_random,-0.01662076815836453,0.027426784726682123,5,-0.025694444444444454,0.023626424772505553,5,-0.0053563515820317376,0.046792872598491304,5,-0.018340688506031228,0.010919558108970584,5,-0.0005167958656330747,0.00965040931684454,5,-0.024652777777777777,0.013357905598382874,5,0.023611111111111117,0.053981610523319505,5,0.0,0.0,5,-0.025694444444444454,0.023626424772505553,5,-0.008333333333333326,0.025586296426306294,5,0.0,0.0,5,-0.007638888888888895,0.0781211418800441,5,1.1304909560723515,1.2561651474567221,5,0.0,0.0,5,0.0,0.0,5,-0.025694444444444454,0.023626424772505553,5,-0.01662076815836453,0.027426784726682123,5,0.0,0.0,5
regime_conditional,cusum,observed,switch_before6_minus_switch_at,-0.10718549861605567,0.04524555800096002,5,-0.15555555555555556,0.015987311712807404,5,-0.033053234445193216,0.06521469268253688,5,-0.03510510666404545,0.020790093268911687,5,-0.023449612403100777,0.009251635008770976,5,-0.002083333333333333,0.01307281291459493,5,-0.07152777777777777,0.034774266551539694,5,0.0,0.0,5,-0.15555555555555556,0.015987311712807404,5,-0.15347222222222223,0.011357935579025091,5,0.0,0.0,5,-0.29930555555555555,0.06589908226379088,5,-1.3888888888888888,1.20096850404252,5,0.0,0.0,5,0.0,0.0,5,-0.15555555555555556,0.015987311712807404,5,-0.10718549861605567,0.04524555800096002,5,0.0,0.0,5
regime_conditional,cusum,observed,switch_delay12_minus_switch_random,-0.04927969672220231,0.038264021328908944,5,0.09791666666666667,0.05105465632142446,5,-0.0885095370408954,0.029173818313997565,5,-0.05407799334010076,0.02906544416913419,5,0.07041343669250646,0.002695142000690994,5,0.09652777777777778,0.028648463683950277,5,-0.04861111111111112,0.05043694113310399,5,0.0,0.0,5,0.09791666666666667,0.05105465632142446,5,-0.04166666666666667,0.032293533398851174,5,0.0,0.0,5,0.004861111111111116,0.03451326011052551,5,7.138242894056847,0.834496814132029,5,0.0,0.0,5,0.0,0.0,5,0.09791666666666667,0.05105465632142446,5,-0.04927969672220231,0.038264021328908944,5,0.0,0.0,5
regime_conditional,cusum,observed,switch_random_minus_steady_d12_n2_m1,-0.005389624203643184,0.02561542267882532,5,-0.03958333333333334,0.03563048203434807,5,0.011940693676733172,0.028065032936858508,5,0.00499841184535717,0.020927820599053442,5,-0.012693798449612404,0.012685926542471561,5,-0.006249999999999999,0.03006030140698879,5,-0.006250000000000022,0.031192075946494036,5,0.0,0.0,5,-0.03958333333333334,0.03563048203434807,5,-0.03958333333333334,0.04629918972439802,5,0.0,0.0,5,-0.04166666666666667,0.03715440027609843,5,-0.9366925064599485,0.5755339044317008,5,0.0,0.0,5,0.0,0.0,5,-0.03958333333333334,0.03563048203434807,5,-0.005389624203643184,0.02561542267882532,5,0.0,0.0,5
