scenario,method,view,regime,window,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,observed,transit_rough,all,cusum_minus_point,0.12123790013695104,0.14507067565395462,5,0.2375,0.15770159056479638,5,0.04892896599624983,0.13765021812957112,5,0.09672249591573426,0.12339662486728963,5,0.03446969696969697,0.033281303552447246,5,0.05208333333333333,0.08168951636124021,5,0.2041666666666667,0.09925941041309663,5,0.0,0.0,5,0.2375,0.15770159056479638,5,0.2041666666666667,0.19059938352471134,5,0.0,0.0,5,0.4083333333333333,0.06353312784157045,5,-5.303030303030303,3.6276479752609765,5,0.0,0.0,5,0.0,0.0,5,0.2375,0.15770159056479638,5,0.12123790013695104,0.14507067565395462,5,0.0,0.0,5
count1,regime_conditional,observed,transit_rough,stable,cusum_minus_ewma,-0.12482158032103433,0.06711173987395852,5,-0.008333333333333321,0.10785149254620655,5,-0.1934465557301376,0.08789499727458329,5,-0.11993306999756807,0.08347147644840472,5,0.03096590909090909,0.02678769560646267,5,0.03333333333333333,0.03855574067358697,5,0.012499999999999966,0.0432009194860994,5,0.0,0.0,5,-0.008333333333333321,0.10785149254620655,5,-0.03333333333333332,0.12465229418042993,5,0.0,0.0,5,0.33333333333333337,0.10206207261596574,5,-1.4204545454545456,2.1174886150566183,5,0.0,0.0,5,0.0,0.0,5,-0.008333333333333321,0.10785149254620655,5,-0.12482158032103433,0.06711173987395852,5,0.0,0.0,5
count1,regime_conditional,observed,transit_rough,stable,cusum_minus_point,0.12123790013695104,0.14507067565395462,5,0.2375,0.15770159056479638,5,0.04892896599624983,0.13765021812957112,5,0.09672249591573426,0.12339662486728963,5,0.03446969696969697,0.033281303552447246,5,0.05208333333333333,0.08168951636124021,5,0.2041666666666667,0.09925941041309663,5,0.0,0.0,5,0.2375,0.15770159056479638,5,0.2041666666666667,0.19059938352471134,5,0.0,0.0,5,0.4083333333333333,0.06353312784157045,5,-5.303030303030303,3.6276479752609765,5,0.0,0.0,5,0.0,0.0,5,0.2375,0.15770159056479638,5,0.12123790013695104,0.14507067565395462,5,0.0,0.0,5
count1,regime_conditional,observed,transit_smooth,all,cusum_minus_ewma,-0.21962076844525397,0.027785423659142924,5,-0.14166666666666666,0.07276770498572076,5,-0.2411561413220666,0.04727364741526577,5,-0.22232722757562132,0.1219541471209351,5,0.02481060606060606,0.016072701054285828,5,0.0125,0.05864870108441352,5,-0.054166666666666655,0.05017331074496792,5,0.0,0.0,5,-0.14166666666666666,0.07276770498572076,5,-0.125,0.06249999999999997,5,0.0,0.0,5,0.3791666666666667,0.1623129265065205,5,-2.7462121212121215,3.183283392797653,5,0.0,0.0,5,0.0,0.0,5,-0.14166666666666666,0.07276770498572076,5,-0.21962076844525397,0.027785423659142924,5,0.0,0.0,5
count1,regime_conditional,observed,transit_smooth,all,cusum_minus_point,0.05869282197416172,0.12959447779802777,5,0.19166666666666668,0.20854156260403664,5,-0.027919046870234464,0.15323490285308378,5,0.029426060831289503,0.05484135058473161,5,0.029640151515151515,0.020059223465813007,5,0.03125,0.053114786599924836,5,0.07500000000000001,0.08912187348419764,5,0.0,0.0,5,0.19166666666666668,0.20854156260403664,5,0.18333333333333335,0.2141885527079146,5,0.0,0.0,5,0.5291666666666667,0.19687224424879082,5,-5.492424242424242,4.524196661208808,5,0.0,0.0,5,0.0,0.0,5,0.19166666666666668,0.20854156260403664,5,0.05869282197416172,0.12959447779802777,5,0.0,0.0,5
count1,regime_conditional,observed,transit_smooth,stable,cusum_minus_ewma,-0.21962076844525397,0.027785423659142924,5,-0.14166666666666666,0.07276770498572076,5,-0.2411561413220666,0.04727364741526577,5,-0.22232722757562132,0.1219541471209351,5,0.02481060606060606,0.016072701054285828,5,0.0125,0.05864870108441352,5,-0.054166666666666655,0.05017331074496792,5,0.0,0.0,5,-0.14166666666666666,0.07276770498572076,5,-0.125,0.06249999999999997,5,0.0,0.0,5,0.3791666666666667,0.1623129265065205,5,-2.7462121212121215,3.183283392797653,5,0.0,0.0,5,0.0,0.0,5,-0.14166666666666666,0.07276770498572076,5,-0.21962076844525397,0.027785423659142924,5,0.0,0.0,5
count1,regime_conditional,observed,transit_smooth,stable,cusum_minus_point,0.05869282197416172,0.12959447779802777,5,0.19166666666666668,0.20854156260403664,5,-0.027919046870234464,0.15323490285308378,5,0.029426060831289503,0.05484135058473161,5,0.029640151515151515,0.020059223465813007,5,0.03125,0.053114786599924836,5,0.07500000000000001,0.08912187348419764,5,0.0,0.0,5,0.19166666666666668,0.20854156260403664,5,0.18333333333333335,0.2141885527079146,5,0.0,0.0,5,0.5291666666666667,0.19687224424879082,5,-5.492424242424242,4.524196661208808,5,0.0,0.0,5,0.0,0.0,5,0.19166666666666668,0.20854156260403664,5,0.05869282197416172,0.12959447779802777,5,0.0,0.0,5
count1,regime_conditional,observed,warehouse,all,cusum_minus_ewma,-0.05266415666244513,0.08289871980673298,5,0.029166666666666674,0.03784562942621865,5,-0.08566470620457861,0.10548566527883342,5,-0.07797281049643204,0.0803906184584138,5,0.01818181818181818,0.017327863596147776,5,-0.014583333333333332,0.039390980002477156,5,0.04166666666666667,0.09432692852226476,5,0.0,0.0,5,0.029166666666666674,0.03784562942621865,5,0.04166666666666667,0.0625,5,0.0,0.0,5,0.3125,0.14804865003699888,5,-2.367424242424242,3.1585378939693025,5,0.0,0.0,5,0.0,0.0,5,0.029166666666666674,0.03784562942621865,5,-0.05266415666244513,0.08289871980673298,5,0.0,0.0,5
count1,regime_conditional,observed,warehouse,all,cusum_minus_point,0.07843125767569745,0.12997849879727572,5,0.19166666666666665,0.16950704672339992,5,0.012934064717455099,0.12368194432775113,5,0.08610343419613506,0.0895003782692765,5,0.023106060606060606,0.023826216753777333,5,0.03333333333333334,0.049629705206548316,5,0.17083333333333334,0.16822191031821956,5,0.0,0.0,5,0.19166666666666665,0.16950704672339992,5,0.19583333333333333,0.18018123592033045,5,0.0,0.0,5,0.3958333333333333,0.15797657175107396,5,-8.712121212121213,5.039889807096656,5,0.0,0.0,5,0.0,0.0,5,0.19166666666666665,0.16950704672339992,5,0.07843125767569745,0.12997849879727572,5,0.0,0.0,5
count1,regime_conditional,observed,warehouse,stable,cusum_minus_ewma,-0.05266415666244513,0.08289871980673298,5,0.029166666666666674,0.03784562942621865,5,-0.08566470620457861,0.10548566527883342,5,-0.07797281049643204,0.0803906184584138,5,0.01818181818181818,0.017327863596147776,5,-0.014583333333333332,0.039390980002477156,5,0.04166666666666667,0.09432692852226476,5,0.0,0.0,5,0.029166666666666674,0.03784562942621865,5,0.04166666666666667,0.0625,5,0.0,0.0,5,0.3125,0.14804865003699888,5,-2.367424242424242,3.1585378939693025,5,0.0,0.0,5,0.0,0.0,5,0.029166666666666674,0.03784562942621865,5,-0.05266415666244513,0.08289871980673298,5,0.0,0.0,5
count1,regime_conditional,observed,warehouse,stable,cusum_minus_point,0.07843125767569745,0.12997849879727572,5,0.19166666666666665,0.16950704672339992,5,0.012934064717455099,0.12368194432775113,5,0.08610343419613506,0.0895003782692765,5,0.023106060606060606,0.023826216753777333,5,0.03333333333333334,0.049629705206548316,5,0.17083333333333334,0.16822191031821956,5,0.0,0.0,5,0.19166666666666665,0.16950704672339992,5,0.19583333333333333,0.18018123592033045,5,0.0,0.0,5,0.3958333333333333,0.15797657175107396,5,-8.712121212121213,5.039889807096656,5,0.0,0.0,5,0.0,0.0,5,0.19166666666666665,0.16950704672339992,5,0.07843125767569745,0.12997849879727572,5,0.0,0.0,5
count1,regime_marginal,clean,all,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.016358024691358025,0.020531362046034,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.012499999999999997,0.04061164310337068,5,-2.067901234567901,1.1681599301096026,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,all,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.019135802469135803,0.021416728715222922,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.008333333333333335,0.03520497737676827,5,-7.253086419753086,1.915073093517107,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,all,stable,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.016358024691358025,0.020531362046034,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.012499999999999997,0.04061164310337068,5,-2.067901234567901,1.1681599301096026,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,all,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.019135802469135803,0.021416728715222922,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.008333333333333335,0.03520497737676827,5,-7.253086419753086,1.915073093517107,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,transit_rough,all,cusum_minus_ewma,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.0006481481481481492,0.002711398234138209,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.008333333333333333,0.018633899812498245,5,-3.333333333333333,2.72716231018947,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_rough,all,cusum_minus_point,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.005648148148148148,0.009003409657431655,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-6.7592592592592595,0.7746852097537732,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_rough,stable,cusum_minus_ewma,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.0006481481481481492,0.002711398234138209,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.008333333333333333,0.018633899812498245,5,-3.333333333333333,2.72716231018947,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_rough,stable,cusum_minus_point,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.005648148148148148,0.009003409657431655,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.01743041721945991,5,-6.7592592592592595,0.7746852097537732,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_smooth,all,cusum_minus_ewma,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.03925925925925926,0.06969276589902063,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.06666666666666667,0.10865337342004415,5,0.2777777777777778,3.3159267739759226,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_smooth,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0362962962962963,0.06968138590641072,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.05833333333333333,0.10353978033157646,5,-7.037037037037036,4.146039477266317,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,transit_smooth,stable,cusum_minus_ewma,0.0,0.0,4,,,0,0.0,0.0,4,,,0,0.03925925925925926,0.06969276589902063,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.06666666666666667,0.10865337342004415,5,0.2777777777777778,3.3159267739759226,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,4,,,0
count1,regime_marginal,clean,transit_smooth,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0362962962962963,0.06968138590641072,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,0.05833333333333333,0.10353978033157646,5,-7.037037037037036,4.146039477266317,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,warehouse,all,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009166666666666667,0.016062212939047783,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.020833333333333332,0.02946278254943948,5,-3.148148148148148,2.1566323516392805,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,warehouse,all,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015462962962962961,0.020945173056062878,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.027163343355011037,5,-7.962962962962962,3.636543867899162,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,warehouse,stable,cusum_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009166666666666667,0.016062212939047783,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.020833333333333332,0.02946278254943948,5,-3.148148148148148,2.1566323516392805,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,clean,warehouse,stable,cusum_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.015462962962962961,0.020945173056062878,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.016666666666666666,0.027163343355011037,5,-7.962962962962962,3.636543867899162,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_marginal,observed,all,all,cusum_minus_ewma,-0.08735437815425703,0.012729544794889776,5,-0.05,0.022178776975932377,5,-0.1287889064078444,0.03484696313341046,5,-0.04071768906406305,0.013890393449629975,5,0.024684343434343434,0.015856284238538715,5,0.009722222222222224,0.04162324125969724,5,-0.03472222222222223,0.0625,5,0.0,0.0,5,-0.05,0.022178776975932377,5,-0.061111111111111116,0.02707442873558046,5,0.0,0.0,5,0.10833333333333332,0.08017751331873113,5,-2.0833333333333335,1.239730864056533,5,0.0,0.0,5,0.0,0.0,5,-0.05,0.022178776975932377,5,-0.08735437815425703,0.012729544794889776,5,0.0,0.0,5
count1,regime_marginal,observed,all,all,cusum_minus_point,-0.02112166235990949,0.028909099322970172,5,0.016666666666666663,0.03242393758313542,5,-0.06874674514841508,0.040932281968297464,5,-0.014537395055972385,0.011058714407181919,5,0.028535353535353535,0.016533369547594857,5,0.01666666666666667,0.03734858835979127,5,0.0708333333333333,0.08857910428565748,5,0.0,0.0,5,0.016666666666666663,0.03242393758313542,5,0.004166666666666666,0.04622100358970482,5,0.0,0.0,5,0.14444444444444443,0.10151723231447024,5,-7.228535353535354,1.8985371380928757,5,0.0,0.0,5,0.0,0.0,5,0.016666666666666663,0.03242393758313542,5,-0.02112166235990949,0.028909099322970172,5,0.0,0.0,5
