scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
magnitude2,regime_marginal,observed,cusum_minus_ewma,-0.21666666666666662,0.1455354099714415,5,-0.25,0.15590239111558088,5,0.041666666666666664,0.02946278254943948,5,2.819367927394243,0.4251975927635955,5,3.6583333333333328,0.5888135433979833,5,0.0,0.0,5,0.0,0.0,5,0.3048611111111111,0.0490677952831653,5
magnitude2,regime_marginal,observed,cusum_minus_point,-0.25,0.125,5,-0.2833333333333333,0.136295226948301,5,0.041666666666666664,0.02946278254943948,5,4.538793715183876,1.0764617752782777,5,5.433333333333333,0.709924683016132,5,0.0,0.0,5,0.0,0.0,5,0.4527777777777778,0.059160390251344314,5
magnitude4,regime_conditional,clean,cusum_minus_ewma,-0.058333333333333334,0.06972166887783963,5,-0.06666666666666668,0.06972166887783963,5,0.016666666666666666,0.02282177322938192,5,1.75,2.872281323269014,4,0.4583333333333332,0.5803495115493386,5,0.0,0.0,5,0.0,0.0,5,0.03819444444444442,0.04836245929577819,5
magnitude4,regime_conditional,clean,cusum_minus_point,-0.125,0.029462782549439487,5,-0.13333333333333336,0.034860834438919824,5,0.016666666666666666,0.02282177322938192,5,0.5583333333333336,3.4078748672906274,4,0.6,0.35551215012835935,5,0.0,0.0,5,0.0,0.0,5,0.049999999999999975,0.0296260125106966,5
magnitude4,regime_conditional,observed,cusum_minus_ewma,0.0,0.0,5,-0.11666666666666667,0.13944333775567927,5,0.14166666666666666,0.14312970031098057,5,0.6450757575757576,0.20729597102969066,5,1.8916666666666668,1.5802052433500884,5,0.0,0.0,5,0.0,0.0,5,0.15763888888888888,0.13168377027917402,5
magnitude4,regime_conditional,observed,cusum_minus_point,0.0,0.0,5,-0.11666666666666667,0.13944333775567927,5,0.14166666666666666,0.14312970031098057,5,1.253409090909091,0.20551816973199913,5,2.5,1.530080335581545,5,0.0,0.0,5,0.0,0.0,5,0.20833333333333331,0.12750669463179543,5
magnitude4,regime_marginal,clean,cusum_minus_ewma,-0.016666666666666666,0.03726779962499649,5,-0.041666666666666664,0.041666666666666664,5,0.025,0.02282177322938192,5,-2.75,6.010407640085654,2,0.20833333333333287,0.3510895738823487,5,0.0,0.0,5,0.0,0.0,5,0.017361111111111095,0.0292574644901957,5
magnitude4,regime_marginal,clean,cusum_minus_point,-0.075,0.07453559924999299,5,-0.1,0.08122328620674138,5,0.025,0.02282177322938192,5,-0.75,2.4748737341529163,2,0.5166666666666664,0.36395779669870787,5,0.0,0.0,5,0.0,0.0,5,0.043055555555555555,0.030329816391558972,5
magnitude4,regime_marginal,observed,cusum_minus_ewma,-0.016666666666666673,0.03726779962499651,5,-0.09166666666666667,0.034860834438919824,5,0.09166666666666666,0.06846531968814577,5,2.690683229813665,0.5510632891699903,5,3.4,0.6042385014765831,5,0.0,0.0,5,0.0,0.0,5,0.2833333333333333,0.050353208456381936,5
magnitude4,regime_marginal,observed,cusum_minus_point,-0.016666666666666673,0.03726779962499651,5,-0.09166666666666667,0.034860834438919824,5,0.09166666666666666,0.06846531968814577,5,4.132349896480332,0.7002442453465902,5,4.841666666666667,0.7758284102958736,5,0.0,0.0,5,0.0,0.0,5,0.40347222222222223,0.06465236752465615,5
steady_d12_n2_m1,regime_conditional,clean,cusum_minus_ewma,-0.058333333333333334,0.06972166887783963,5,-0.06666666666666668,0.06972166887783963,5,0.016666666666666666,0.02282177322938192,5,1.75,2.872281323269014,4,0.4583333333333332,0.5803495115493386,5,0.0,0.0,5,0.0,0.0,5,0.03819444444444442,0.04836245929577819,5
steady_d12_n2_m1,regime_conditional,clean,cusum_minus_point,-0.125,0.029462782549439487,5,-0.13333333333333336,0.034860834438919824,5,0.016666666666666666,0.02282177322938192,5,0.5583333333333336,3.4078748672906274,4,0.6,0.35551215012835935,5,0.0,0.0,5,0.0,0.0,5,0.049999999999999975,0.0296260125106966,5
steady_d12_n2_m1,regime_conditional,observed,cusum_minus_ewma,-0.11666666666666667,0.03486083443891978,5,-0.125,0.04166666666666663,5,0.025,0.03726779962499649,5,1.1009039945262855,0.5590822806910911,5,1.5833333333333335,0.5877806658194121,5,0.0,0.0,5,0.0,0.0,5,0.13194444444444448,0.0489817221516177,5
steady_d12_n2_m1,regime_conditional,observed,cusum_minus_point,0.016666666666666698,0.06972166887783962,5,0.00833333333333337,0.06180165405913052,5,0.025,0.03726779962499649,5,1.3771157531838647,0.8488677277576556,5,0.8083333333333336,0.4099457958749618,5,0.0,0.0,5,0.0,0.0,5,0.06736111111111114,0.034162149656246824,5
steady_d12_n2_m1,regime_marginal,clean,cusum_minus_ewma,-0.016666666666666666,0.03726779962499649,5,-0.041666666666666664,0.041666666666666664,5,0.025,0.02282177322938192,5,-2.75,6.010407640085654,2,0.20833333333333287,0.3510895738823487,5,0.0,0.0,5,0.0,0.0,5,0.017361111111111095,0.0292574644901957,5
steady_d12_n2_m1,regime_marginal,clean,cusum_minus_point,-0.075,0.07453559924999299,5,-0.1,0.08122328620674138,5,0.025,0.02282177322938192,5,-0.75,2.4748737341529163,2,0.5166666666666664,0.36395779669870787,5,0.0,0.0,5,0.0,0.0,5,0.043055555555555555,0.030329816391558972,5
