seed,method,temporal,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
46,regime_conditional,cusum,observed,-0.1678217821782178,-0.21180555555555558,-0.13513986013986015,-0.09296541256926716,-0.029823832837908723,-0.032986111111111105,-0.10416666666666669,0.0,-0.21180555555555558,-0.2013888888888889,0.0,-0.2881944444444444,0.43228225602766557,0.0,0.0,-0.21180555555555558,-0.1678217821782178,0.0,duration4_minus_steady_d12_n2_m1
46,regime_conditional,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,-0.006944444444444444,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
46,regime_conditional,ewma,observed,-0.22440765817950897,-0.1909722222222222,-0.25872083374821603,-0.22836695508848454,-0.00909857006858231,-0.04166666666666666,-0.08680555555555558,0.0,-0.1909722222222222,-0.17708333333333331,0.0,-0.09375,-2.3471955081502207,0.0,0.0,-0.1909722222222222,-0.22440765817950897,0.0,duration4_minus_steady_d12_n2_m1
46,regime_conditional,point,clean,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
46,regime_conditional,point,observed,-0.009882276703747694,0.027777777777777776,-0.11628383921246924,-0.0702436271757192,-0.0003934254240251806,-0.0034722222222222238,0.03819444444444442,0.0,0.027777777777777776,0.034722222222222224,0.0,0.0,-0.3739970080239363,0.0,0.0,0.027777777777777776,-0.009882276703747694,0.0,duration4_minus_steady_d12_n2_m1
46,regime_marginal,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.027777777777777776,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
46,regime_marginal,cusum,observed,-0.07587382779198636,-0.06597222222222222,-0.08333333333333333,-0.046947184653153326,-0.011342552116725926,-0.0017361111111111119,-0.06944444444444448,0.0,-0.06597222222222222,-0.06597222222222222,0.0,-0.1388888888888889,0.7054943560451514,0.0,0.0,-0.06597222222222222,-0.07587382779198636,0.0,duration4_minus_steady_d12_n2_m1
46,regime_marginal,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,-0.010416666666666666,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
46,regime_marginal,ewma,observed,-0.12068231185314537,-0.08333333333333333,-0.18704115684093436,-0.0888542434242707,-0.00200234112412815,-0.0017361111111111119,-0.09375000000000006,0.0,-0.08333333333333333,-0.08333333333333333,0.0,-0.041666666666666664,-0.34606866002214787,0.0,0.0,-0.08333333333333333,-0.12068231185314537,0.0,duration4_minus_steady_d12_n2_m1
46,regime_marginal,point,clean,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,duration4_minus_steady_d12_n2_m1
46,regime_marginal,point,observed,-0.029353442256668062,-0.003472222222222217,-0.10939289805269187,-0.05250498574577467,0.0002331409920149196,0.0017361111111111119,0.05902777777777779,0.0,-0.003472222222222217,-0.003472222222222217,0.0,0.0,0.26228361601678607,0.0,0.0,-0.003472222222222217,-0.029353442256668062,0.0,duration4_minus_steady_d12_n2_m1
42,regime_conditional,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.017361111111111112,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_conditional,cusum,observed,0.16141801065205125,0.27777777777777773,0.09967344153628699,0.14139718221679587,0.06565907228839732,0.042534722222222224,0.11111111111111116,0.0,0.27777777777777773,0.22395833333333337,0.0,0.29513888888888884,1.9222285246108273,0.0,0.0,0.27777777777777773,0.16141801065205125,0.0,duration24_minus_steady_d12_n2_m1
42,regime_conditional,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,0.010416666666666666,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_conditional,ewma,observed,0.19220578826540213,0.16145833333333337,0.23476588176158997,0.25141295336315544,0.0007287136824856606,-0.0026041666666666644,0.11284722222222232,0.0,0.16145833333333337,0.1440972222222222,0.0,-0.010416666666666671,-0.5750929602319292,0.0,0.0,0.16145833333333337,0.19220578826540213,0.0,duration24_minus_steady_d12_n2_m1
42,regime_conditional,point,clean,0.0,,0.0,,0.0,,,,,,0.0,-0.010416666666666666,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_conditional,point,observed,0.020899685672058133,0.001736111111111105,0.16946621873833523,0.09484390841240903,-1.575597151320246e-05,0.002604166666666668,-0.01388888888888895,0.0,0.001736111111111105,0.0,0.0,-0.010416666666666666,-0.03151194302640725,0.0,0.0,0.001736111111111105,0.020899685672058133,0.0,duration24_minus_steady_d12_n2_m1
42,regime_marginal,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,0.041666666666666664,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_marginal,cusum,observed,0.16091708473454985,0.14756944444444445,0.17679162423625255,0.1509918064176829,0.023523665469212834,0.020833333333333332,0.125,0.0,0.14756944444444445,0.13368055555555555,0.0,0.2881944444444445,-0.0039389928783006845,0.0,0.0,0.14756944444444445,0.16091708473454985,0.0,duration24_minus_steady_d12_n2_m1
42,regime_marginal,ewma,clean,0.0,,0.0,,0.0,,,,,,0.0,0.013888888888888888,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_marginal,ewma,observed,0.14595524737176477,0.09895833333333337,0.27751216780807164,0.25630558538441917,0.0006656897964328473,-0.0017361111111111101,0.09548611111111105,0.0,0.09895833333333337,0.0954861111111111,0.0,0.017361111111111112,-0.14968172937543311,0.0,0.0,0.09895833333333337,0.14595524737176477,0.0,duration24_minus_steady_d12_n2_m1
42,regime_marginal,point,clean,0.0,,0.0,,0.0,,,,,,0.0,-0.006944444444444444,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
42,regime_marginal,point,observed,0.018629935191523256,0.005208333333333329,0.17882899401051217,0.09641955728028091,-2.757295014810604e-05,0.0008680555555555559,-0.02604166666666663,0.0,0.005208333333333329,0.0034722222222222238,0.0,-0.006944444444444444,-0.03545093590470749,0.0,0.0,0.005208333333333329,0.018629935191523256,0.0,duration24_minus_steady_d12_n2_m1
43,regime_conditional,cusum,clean,0.0,,0.0,,0.0,,,,,,0.0,-0.010416666666666668,0.0,0.0,0.0,,0.0,,duration24_minus_steady_d12_n2_m1
